error_distribution,day,avg_price,price_volatility,milp_net_profit,ppo_net_profit,milp_arbitrage,ppo_arbitrage,milp_flexibility,ppo_flexibility,milp_degradation,ppo_degradation,milp_fcr_revenue,milp_afrr_revenue,milp_mfrr_revenue,ppo_fcr_revenue,ppo_afrr_revenue,ppo_mfrr_revenue,milp_exec_time,ppo_exec_time,milp_utilization,ppo_utilization,milp_cumulative,ppo_cumulative,milp_throughput_cum,ppo_throughput_cum,ppo_arbitrage_throughput,ppo_activation_throughput,ppo_total_throughput
ornstein-uhlenbeck,1,105.71458333333334,12.461424804560762,4446.1488,1931.3950125175006,177.24,152.67999999999998,4368.9088,1790.550154342441,100.0,11.835141824940465,0.0,2719.378587827266,0.0,0.0,1790.550154342441,0.0,0.6417908668518066,0.0340116024017334,0.5,0.03166666666666667,4446.1488,1931.3950125175006,48.0,5.680868075971423,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,2,107.2975,13.202076304506049,4028.617040000001,1919.2054125175005,188.64600000000002,143.54182857142857,3939.971040000001,1787.4987257710122,100.0,11.835141824940465,0.0,2452.61481000621,0.0,0.0,1787.4987257710122,0.0,0.12561750411987305,0.02499246597290039,0.5,0.03166666666666667,8474.76584,3850.600425035001,96.0,11.361736151942846,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,3,94.00600875000002,21.950640093234814,4019.392750000001,1879.338941088929,170.94443,106.05714285714285,3948.448320000001,1785.1169400567264,100.0,11.835141824940465,0.0,2451.9414073286066,0.0,0.0,1785.1169400567264,0.0,0.12361001968383789,0.012997865676879883,0.5,0.03166666666666667,12494.158590000001,5729.93936612393,144.0,17.042604227914268,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,4,91.17174250000001,23.70879803805018,4433.844000000001,1872.991741088929,171.7768,98.16422857142855,4362.067200000001,1786.6626543424409,100.0,11.835141824940465,0.0,2751.6363671263907,0.0,0.0,1786.6626543424409,0.0,0.15970945358276367,0.05813145637512207,0.5,0.03166666666666667,16928.002590000004,7602.931107212859,192.0,22.723472303885693,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,5,104.05439041666666,14.491650374708156,4443.486089999999,1898.8086855698,171.67329,129.9614571428571,4371.8128,1780.6492736874116,100.0,11.802045260468809,0.0,2725.821046792063,0.0,0.0,1780.6492736874116,0.0,0.1888594627380371,0.024496078491210938,0.5,0.03166666666666667,21371.488680000002,9501.739792782659,240.0,28.388454028910722,1.52,4.144981725025028,5.664981725025028
ornstein-uhlenbeck,6,100.73541666666667,7.889122775044272,4409.7699999999995,1912.8369427126572,155.13,145.35542857142858,4354.639999999999,1779.2835594016974,100.0,11.802045260468809,0.0,2716.771576074561,0.0,0.0,1779.2835594016974,0.0,0.15773439407348633,0.010006904602050781,0.5,0.03166666666666667,25781.258680000003,11414.576735495317,288.0,34.05343575393575,1.52,4.144981725025028,5.664981725025028
ornstein-uhlenbeck,7,97.11214083333334,8.31807857097114,4406.599200000001,1916.2211125175004,145.356,142.9393142857143,4361.243200000001,1785.1169400567264,100.0,11.835141824940465,0.0,2726.042894546249,0.0,0.0,1785.1169400567264,0.0,0.12235188484191895,0.025220155715942383,0.5,0.03166666666666667,30187.857880000003,13330.797848012817,336.0,39.73430382990718,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,8,108.11229208333333,13.901934222454734,4452.51689,1909.8281553746433,181.90569,134.16457142857143,4370.6112,1787.4987257710122,100.0,11.835141824940465,0.0,2725.7249020238955,0.0,0.0,1787.4987257710122,0.0,0.1216893196105957,0.016995906829833984,0.5,0.03166666666666667,34640.37477,15240.62600338746,384.0,45.4151719058786,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,9,108.68318208333335,16.557528236516507,4035.5701400000007,1910.028062003215,194.55077999999997,131.3130494857143,3941.019360000001,1790.550154342441,100.0,11.835141824940465,0.0,2462.8510140410112,0.0,0.0,1790.550154342441,0.0,0.1366558074951172,0.028066635131835938,0.5,0.03166666666666667,38675.944910000006,17150.654065390674,432.0,51.096039981850026,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,10,113.25864083333333,15.951957108119185,4060.9426024000004,1924.562241088929,213.0184424,143.49794285714287,3947.9241600000005,1792.8994400567267,100.0,11.835141824940465,0.0,2462.996228601849,0.0,0.0,1792.8994400567267,0.0,0.13651418685913086,0.023546218872070312,0.5,0.03166666666666667,42736.887512400004,19075.216306479604,480.0,56.77690805782145,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,11,108.33565958333332,16.663365649252977,4447.879360000002,1913.304343946072,180.66016000000002,134.58933142857143,4367.219200000001,1790.550154342441,100.0,11.835141824940465,0.0,2739.461966031395,0.0,0.0,1790.550154342441,0.0,0.11656427383422852,0.010043144226074219,0.5,0.03166666666666667,47184.7668724,20988.520650425675,528.0,62.457776133792876,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,12,110.11114750000002,14.408679097124717,4436.198399999999,1921.703241088929,167.4,146.03965714285715,4368.7984,1787.4987257710122,100.0,11.835141824940465,0.0,2736.6647156040926,0.0,0.0,1787.4987257710122,0.0,0.14478468894958496,0.030605554580688477,0.5,0.03166666666666667,51620.965272400004,22910.223891514604,576.0,68.1386442097643,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,13,99.79093958333334,13.860342139068777,4425.259220000001,1913.311583946072,173.02562,134.59657142857142,4352.2336000000005,1790.550154342441,100.0,11.835141824940465,0.0,2718.709768121097,0.0,0.0,1790.550154342441,0.0,0.13315367698669434,0.02199530601501465,0.5,0.03166666666666667,56046.224492400004,24823.535475460678,624.0,73.81951228573571,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,14,104.18708333333332,6.448551826551618,4414.8464,1925.9532268032146,156.56,152.67142857142858,4358.2864,1785.1169400567264,100.0,11.835141824940465,0.0,2744.6066936788948,0.0,0.0,1785.1169400567264,0.0,0.14438724517822266,0.017014741897583008,0.5,0.03166666666666667,60461.07089240001,26749.488702263894,672.0,79.50038036170713,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,15,100.95566458333333,12.115852419302083,4434.9210972,1901.2497982317861,164.3098972,127.96799999999999,4370.6112,1785.1169400567264,100.0,11.835141824940465,0.0,2724.8037228113985,0.0,0.0,1785.1169400567264,0.0,0.13409209251403809,0.024541854858398438,0.5,0.03166666666666667,64895.99198960001,28650.73850049568,720.0,85.18124843767855,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,16,107.47231166666667,17.02281620403399,4031.664880000001,1904.7094753746433,191.20999999999998,129.04589142857145,3940.454880000001,1787.4987257710122,100.0,11.835141824940465,0.0,2447.0551072151206,0.0,0.0,1787.4987257710122,0.0,0.15093708038330078,0.023034095764160156,0.5,0.03166666666666667,68927.6568696,30555.447975870324,768.0,90.86211651364997,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,17,101.77643083333334,13.283522342561891,4028.616,1905.1687268032147,180.208,129.50514285714286,3948.4080000000004,1787.4987257710122,100.0,11.835141824940465,0.0,2466.347128734875,0.0,0.0,1787.4987257710122,0.0,0.13664460182189941,0.026050567626953125,0.5,0.03166666666666667,72956.2728696,32460.61670267354,816.0,96.54298458962138,1.52,4.160868075971423,5.680868075971423
ornstein-uhlenbeck,18,97.41155083333335,14.041449104580492,4418.501150000001,1896.5566476032145,163.59555,123.27484937142856,4354.905600000001,1785.1169400567264,100.0,11.835141824940465,0.0,2752.714389134088,0.0,0.0,1785.1169400567264,0.0,0.1376338005065918,0.028530120849609375,0.5,0.03166666666666667,77374.7740196,34357.17335027675,864.0,102.2238526655928,1.52,4.160868075971423,5.680868075971423
