day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,78643.9835,59762.7521,18422.8380,6001.0445
2,50407.1178,49370.2707,19546.6824,3368.2826
3,5500.0000,3987.5000,6699.7468,7593.5916
4,31714.2169,19043.9896,19910.5386,7509.6840
5,15784.4370,6325.0000,20151.2761,9278.8342
6,41454.6675,40869.5411,11090.5957,2589.4841
7,37777.6727,38696.0745,11100.3641,3158.5684
8,63212.1120,47395.2792,27073.6420,12436.3992
9,31337.3886,33048.6165,23539.4373,4375.0720
10,13763.3623,23353.7386,25890.4364,4815.9062
11,27561.3089,28661.3089,25227.0612,7538.1299
12,44732.5646,60479.8084,15208.3623,8360.6699
13,30333.4845,28008.8084,9283.6794,4225.2353
14,55793.3609,44570.9325,11026.5855,6915.0566
15,36915.7767,39710.3710,17996.3647,5592.8048
16,7012.5000,12241.7023,12664.7890,7140.7610
17,16255.1587,16505.1587,11738.6965,19779.1960
18,0.0000,56015.8529,9333.0665,6256.9569
19,13729.4799,6262.5000,11049.9725,4962.5128
20,18739.3844,11988.9600,26152.9766,6884.0138
21,13832.8278,23836.2813,23216.2496,2610.6698
22,39100.9086,23519.9530,20096.0920,5350.6240
23,4812.5000,5087.5000,22612.0930,10081.5578
24,7425.0000,40181.7260,24658.9067,7130.9226
25,31975.9675,33813.3004,16763.9474,4873.0632
26,32004.3461,43926.4054,25905.1386,8113.4271
27,57722.4097,60989.7550,15663.8123,7409.7746
28,57163.0439,47355.8761,14134.7680,9940.1672
29,29571.8157,30631.4311,4397.8781,8661.4432
30,23021.0057,64488.0316,3505.9217,5245.4927
31,97534.8912,92574.8244,16872.8171,4051.5482
32,68811.6525,46884.4928,31694.2505,8849.2131
33,39230.4460,49624.1648,21295.2842,8993.5873
34,53619.8317,48626.8658,27010.3348,6801.4809
35,64821.3085,47361.0360,10398.6097,4225.5912
36,22410.8671,18503.4641,18688.1234,5618.8929
37,21052.1228,37153.6961,19232.0232,7851.8007
38,40501.3665,15651.6411,25137.8854,7381.2858
39,22728.3679,22330.0422,31762.0479,7245.0712
40,28836.3028,23909.4480,37550.3334,16705.6520
41,34202.8045,34624.3954,3938.6123,13520.8702
42,30635.8664,47498.0754,20309.6953,20234.5018
43,7012.5000,7562.5000,18645.4446,5003.3793
44,56179.0895,45890.7539,18536.4544,5832.3466
