day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,7993.4108,7488.9632,17406.6513,-2369.1408
2,18580.6293,14799.3325,3049.6740,-5011.5239
3,4636.7548,5049.2541,-6176.3368,-4174.1540
4,26728.8525,26512.8841,-7778.6637,-8211.7816
5,3527.1646,2881.8892,8211.1842,-5199.4103
6,47020.1667,46548.8590,-2893.6890,-3783.7479
7,25802.5917,28150.6649,-8303.6622,-5924.0501
8,-6119.7599,9265.1200,-6149.5090,-5034.8768
9,7536.2459,43788.8816,-1934.4386,-5248.7933
10,13233.4363,14195.9544,-4729.1403,-6472.4273
11,13639.3672,13593.8219,-660.2410,-8837.9698
12,-2269.7599,6861.3169,474.9625,-7389.5542
13,849.0276,616.6652,3850.6726,-5742.2803
14,40777.1182,14694.8770,-2288.1461,-4559.5911
15,4426.5417,15638.4106,-8601.9909,-2004.4300
16,5709.7351,1613.9912,-8437.9626,-9990.0191
17,19877.5979,16231.4386,2295.8083,-6096.8223
18,25162.5434,19925.2182,1118.8952,-2931.0822
19,9899.0935,16871.1368,5477.5021,-5626.8018
20,6374.9820,1818.6352,18414.7559,-5952.3933
21,14436.1158,26129.8740,-7832.8997,-7588.5564
22,14882.8950,7547.3011,-4325.5238,117.5103
23,7036.5317,-433.8687,4266.0823,-7848.3530
24,50775.8623,12163.6678,1242.5819,-3864.2267
25,9150.6040,10465.2839,8263.9781,-6534.0518
26,20867.0432,20240.8157,-5631.9615,-3216.2427
27,32728.2899,19499.3597,8510.3441,-3487.5554
28,42381.1254,41298.8672,15018.1112,-1252.1961
29,10451.9022,21093.0928,-5436.0963,1148.9602
30,5572.8171,3980.2263,-8175.5425,-4309.3916
31,52957.3494,43950.8852,2084.6901,-3517.7121
32,27358.5069,5438.6983,10230.5916,-2970.5294
33,59153.0081,27853.6936,-3946.7382,-7407.1096
34,-3369.7599,-5432.2599,-6632.9950,-3612.9767
35,25571.5122,32084.6895,-4994.1010,-2797.1440
36,15494.2792,8945.9752,-5621.0838,-5971.0990
37,11011.2783,11300.1622,-2246.6660,-9083.4136
38,45365.4886,38458.9454,-8201.4675,2205.3590
39,-6532.2599,-6882.2599,-8650.3600,-1708.0001
40,6234.9715,4136.9423,-3551.2579,-4524.3281
41,16638.3353,10849.6274,845.1979,-6431.8493
42,9549.3874,11861.8140,-5159.0445,-4966.7398
43,-5569.7599,-5083.5756,-1269.4411,-5697.2767
44,12744.3422,15379.4432,-5657.7969,-1559.6942
45,7063.9589,3157.8759,-5010.5205,-6664.1003
46,16863.0186,22210.7530,-5044.4848,-5056.0401
47,21517.9737,3694.2345,12443.3638,-7029.1306
48,28804.7705,10673.1161,-4982.0707,-5060.4452
49,22787.6753,3280.2680,-6072.1297,-2171.2380
50,12424.9217,5511.2586,259.6189,1865.0739
51,3321.7971,2498.8631,-2825.9813,-8467.9584
52,-4469.7599,-6337.5230,-1846.8728,-5832.5621
53,17450.8923,18128.9555,-8398.0682,-2716.8568
54,9485.1580,22906.6049,472.3600,-6256.6345
55,13990.7581,16852.4705,-6788.9676,-1380.0823
56,2875.0918,3700.0731,-2660.8301,1273.3020
57,76.3510,8872.7019,-6517.6510,-7215.0984
58,22321.8336,26547.3870,-3741.9000,-3403.4263
59,29013.8199,23881.2410,-6511.4536,-5394.1533
60,-9558.6630,27493.7689,-2006.3210,-3006.7761
61,13556.1215,4773.9744,-8433.5949,-1492.1420
62,7990.7111,29801.5027,4359.7003,-6456.7781
63,28192.9476,19496.4868,-5209.2414,-4441.0077
64,-4409.2599,17668.0374,6192.9906,-3051.0567
65,8222.0544,410.1671,7953.9378,-637.3992
66,24988.0423,19430.1410,12350.2335,-4013.2585
67,8832.7213,916.2096,10803.4876,-2637.2252
68,32658.5216,12713.5026,-7572.1720,-1886.3859
69,23093.4881,20499.5290,-6707.6342,-4338.3958
70,12785.1349,11186.4661,-908.4116,-2302.5905
71,14864.1073,-3718.7996,5305.8945,-4021.1891
72,16450.6624,-3625.6283,-2979.7644,-4153.5560
73,-2470.7880,4538.9175,4509.8525,-2775.7871
74,5661.5436,636.4533,-445.3944,1993.2065
75,27554.2770,27877.0861,5306.9418,-2881.9120
76,-4194.7599,-4882.2599,1623.2679,-7380.7102
77,43100.8926,31434.0841,-1294.9464,-1001.4176
78,2172.8886,4820.3977,-3043.8986,-6970.1326
79,22434.3620,31040.3856,2315.0382,3169.4694
80,18024.2013,15223.0147,-323.8207,-2938.1795
81,-5569.7599,-5982.2599,3030.2320,-5892.1928
82,6631.6403,-4263.0542,334.6160,-2311.7063
83,7028.7562,6441.9745,4700.9114,-10101.6805
84,14152.9477,10177.3207,-3256.6685,-7202.3820
85,7484.2135,-8044.7599,-1403.8404,-5675.4238
86,11965.9612,9425.2164,-1621.5173,-4181.4436
87,11206.0972,-4235.6689,-2486.6437,-5023.1014
88,16286.5427,16560.6367,-3828.2375,-8351.0747
89,32551.1394,40587.6936,-2790.9511,-4673.1202
90,22020.8309,10681.5524,6202.8140,-7437.5953
91,11008.0622,4646.1433,-2170.5143,-6186.1807
92,20056.3253,3831.4903,-1603.5386,5097.4654
