day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,7996.3498,14277.7704,-136.8288,20175.4302
2,18585.8647,14462.9597,-753.5918,-1777.3881
3,4638.2204,4548.2088,-5575.0319,1277.1935
4,26780.8632,33703.1921,-5727.4951,7834.1554
5,-13845.3508,2866.0898,-7447.7696,10123.8204
6,49756.0928,35373.6165,2487.6386,1658.9837
7,25861.3313,27956.4682,-6031.7559,-1603.2114
8,-6119.7599,3586.9030,-9290.5220,10384.0587
9,7539.1409,25199.9088,-7679.1205,3460.3211
10,13236.3280,13630.4510,4650.8595,-4318.2400
11,13685.6272,13685.7118,-3102.4304,4990.4280
12,-2269.7599,6964.6759,-7980.1218,-430.5068
13,850.4691,618.1002,-8616.3931,1901.2541
14,40881.4505,39853.4589,-7110.8136,-364.2938
15,4427.9762,16871.1575,3489.1176,6025.6805
16,5711.1684,6707.0059,-7854.4820,2502.0439
17,19915.4993,16436.7182,11616.4075,1180.5822
18,25218.7212,29958.5341,-1551.2839,7768.3870
19,9908.0607,13260.0455,519.1734,15420.9163
20,6389.9171,713.1495,-1207.5256,9678.9097
21,14483.0383,18755.6474,-5957.0537,8421.3578
22,14929.7198,11038.3475,-4459.6349,15529.9835
23,7051.3909,5373.7790,-5906.0350,6564.6012
24,50857.3984,58521.2116,-3907.1243,6176.4812
25,9177.2205,5873.0925,3317.2230,6412.8167
26,20901.6186,20098.3515,-813.8612,6184.7104
27,32765.5556,2185.9720,11708.7736,-2216.1812
28,42515.3300,39271.6667,-2427.5569,7546.2789
29,10496.5214,18423.5031,-6635.5294,5857.1301
30,5574.2084,5494.1227,2463.5437,2520.8551
31,53123.3419,54203.5938,-5583.9496,16466.9874
32,27404.1893,5951.4462,-2033.7680,8921.7554
33,-9558.6630,40545.1942,-2812.8179,9529.4827
34,-3368.6094,-5432.2599,3133.9850,-1080.2728
35,25618.0879,20210.2524,-380.3336,6190.4275
36,15538.1002,8440.2040,-3809.6498,-752.9496
37,11056.4108,6836.0355,-7029.5710,674.5720
38,45442.8185,35947.1200,1184.8095,10613.0417
39,-6532.2599,-6944.7599,-6957.5419,5076.5223
40,6238.3465,3200.8136,-4056.5477,4686.0423
41,16681.7251,10857.3375,-892.2148,-2521.8565
42,9553.1953,15830.4868,-3499.9277,-733.4281
43,-9558.6630,-4057.2599,-5705.6634,6046.5072
44,12824.0240,24394.6960,-7321.2305,-2845.3979
45,7078.1090,17133.2291,773.8343,3186.6531
46,16877.2585,23257.6096,-3993.0955,10101.0018
47,21562.3675,21935.4229,-8501.9902,19874.1358
48,28890.7135,11266.7351,-100.1819,3506.6498
49,22844.5846,14354.9137,-3530.2116,-446.8785
50,12438.9773,3726.7941,-4688.1602,1294.9505
51,3323.1350,2907.6792,-2196.6780,4335.1698
52,-4469.7599,-4557.2599,-5871.5715,-736.9963
53,17477.5080,22638.1091,-2827.3672,4686.9891
54,9527.8217,30554.2718,-3036.4291,-895.3097
55,14006.0439,16825.2174,-6857.5287,10671.6592
56,2876.4201,3151.4240,-2523.5405,5209.5862
57,76.7859,9995.6551,1657.8536,10156.9633
58,22367.6385,24134.5273,1446.4411,272.7798
59,29059.0501,22076.5256,-4174.8018,-3574.6553
60,44081.0379,40992.1896,-5606.0748,7354.0383
61,16561.5148,4500.3063,-5277.6990,-439.7968
62,7992.0329,23740.7738,-9274.1939,9299.2897
63,28250.4223,13066.4675,3523.9315,-4909.3948
64,-4409.2599,14312.3185,-1973.5065,9899.6802
65,8235.8857,2414.9633,-1914.2726,8426.5224
66,25044.0135,25464.7452,-6800.1887,1038.9178
67,8846.5093,2976.4996,-2646.2920,15480.2316
68,32742.5448,12940.3058,-8886.1458,4304.7590
69,23097.4141,12437.0216,-8318.2351,9298.6211
70,12787.7483,5719.2419,7871.6990,1011.5121
71,14905.9261,5125.0805,-1892.9905,-5251.6127
72,16453.2698,1912.5918,-401.0171,-858.1981
73,-2470.7880,7018.0663,-787.0608,10596.4863
74,5661.7440,16130.3582,-8382.8403,6300.3919
75,27560.1439,14615.3259,-8867.6287,10787.6954
76,-4194.7599,-4332.2599,-8385.2056,2638.6986
77,43186.5712,40585.8762,5755.5392,357.0681
78,2174.1837,1803.4478,-3661.3317,3294.9028
79,22477.2483,25424.5676,-1089.2821,2027.3828
80,18066.8405,9156.4657,-8498.3564,3191.4495
81,-5569.7599,-5019.7599,-2771.0284,-2770.5397
82,6672.9416,2927.3958,-1546.9481,11429.2137
83,7070.0232,2190.6206,-470.9187,-1467.5827
84,14155.5201,18458.6774,2950.4612,1751.6441
85,7514.5721,-7807.2599,455.4935,26571.7971
86,11970.4408,14366.4389,-1926.1227,2885.9465
87,11219.5550,-4378.4137,-954.9602,6141.1764
88,16340.7017,11640.6938,-5022.3856,246.8830
89,32584.9364,33844.2363,-2281.2996,5786.4739
90,22052.2472,18959.3629,-4348.6853,1330.6848
91,11009.3481,13024.2461,-9017.8041,6139.8496
92,20076.3631,16517.9199,-9090.3633,-6228.3456
