#{"t_start": 1768004562.2306635, "env_id": "None"}
r,l,t
50668.911891,480,1.06125
50620.753539,480,1.993573
50417.3407,480,2.897246
51006.864167,480,3.93818
49604.589953,480,8.692195
51714.80001,480,9.672659
51651.019379,480,10.681423
51426.48828,480,11.751238
51371.119145,480,16.687769
51859.961028,480,17.739722
51893.312417,480,18.723837
50292.300072,480,19.691252
50615.085118,480,24.12988
51643.700872,480,25.070592
51539.699968,480,26.039054
50720.741519,480,27.016012
50195.848207,480,28.005078
50534.882199,480,32.711112
50270.546514,480,33.71273
50087.077749,480,34.766755
51168.019343,480,35.812276
51363.893366,480,40.887347
53521.497945,480,42.046455
53316.771464,480,43.116102
49449.468876,480,44.147155
50493.816779,480,49.036255
52137.763298,480,49.969059
50858.934775,480,50.938437
50648.053214,480,51.925433
49369.788682,480,56.29559
51182.856991,480,57.223883
50181.932321,480,58.13134
50252.996528,480,59.059579
50823.169272,480,60.015214
49453.85906,480,64.560842
51478.500697,480,65.567863
52818.13593,480,66.598913
50326.430852,480,67.722303
50817.692388,480,72.692441
51434.507908,480,73.707778
50355.654142,480,74.730861
51106.999779,480,75.771044
52003.136326,480,80.446542
51047.25113,480,81.380861
51257.06885,480,82.31095
52082.062693,480,83.237371
49755.336141,480,87.668805
50923.232484,480,88.564518
50482.263539,480,89.461628
50951.816068,480,90.394276
51764.498591,480,91.386431
50701.674972,480,96.028011
49924.576451,480,97.060602
51269.839484,480,98.08753
49596.912497,480,99.131594
51649.145777,480,104.11948
51665.047602,480,105.156522
50835.768729,480,106.16011
52540.108533,480,107.254739
50559.127305,480,111.777461
50692.394129,480,112.694994
50816.452726,480,113.596082
49580.621163,480,114.500077
50760.918762,480,115.458194
51009.115519,480,119.820578
49864.456348,480,120.722475
50826.629822,480,121.739503
52276.278567,480,122.636487
51596.571392,480,127.603667
51971.189549,480,128.634733
51253.560284,480,129.694956
49048.407482,480,130.766881
51834.134014,480,136.037242
51414.53827,480,137.319813
51398.991162,480,138.631763
49989.114321,480,139.786809
50757.412373,480,144.70956
50600.215562,480,145.618883
51319.74302,480,146.536541
51755.570828,480,147.58526
49297.880432,480,148.561484
51913.318155,480,153.092134
51309.428016,480,154.244646
50978.011966,480,155.266999
51034.63473,480,156.321622
51093.325717,480,161.262549
50950.131845,480,162.294114
50296.819415,480,163.295064
49677.367895,480,164.321831
49281.923866,480,169.089987
49770.863853,480,170.51378
51103.344715,480,171.765538
51385.389356,480,172.839689
50807.123691,480,177.624525
50037.709839,480,178.789308
50639.302095,480,179.933475
49557.209784,480,181.111466
49996.955331,480,182.308673
52251.393956,480,188.418931
51684.408085,480,189.668943
52141.915834,480,191.139386
50523.977677,480,192.924063
52159.931587,480,198.753075
50297.765578,480,199.917811
49459.156571,480,201.052046
50778.938033,480,202.202231
50963.455952,480,207.962669
51413.757855,480,209.200671
51359.936041,480,210.403035
51630.624125,480,211.661025
51376.058886,480,217.86653
49643.198247,480,219.117359
51204.577558,480,220.434781
50852.474826,480,221.809242
51349.794136,480,223.115023
50628.75302,480,229.412257
52335.307444,480,230.733794
50625.678726,480,231.921641
49381.727535,480,233.141264
53523.341121,480,238.619692
51058.539713,480,239.807904
50181.482358,480,241.02961
50463.532285,480,242.215676
49212.673232,480,247.915514
50702.02774,480,248.929727
50113.770595,480,249.936888
52322.064605,480,250.951561
50439.306312,480,251.966697
50245.455035,480,256.85148
50644.499655,480,257.895751
53117.146864,480,258.881017
50813.968594,480,259.860638
53142.277727,480,264.28928
50886.424444,480,265.237844
51242.065893,480,266.14154
50939.594976,480,267.084688
50546.680885,480,271.474902
49151.276138,480,272.357616
50424.813794,480,273.296229
50325.581676,480,274.368906
50488.637554,480,279.330366
51117.138655,480,280.296708
49927.529812,480,281.35836
53021.582773,480,282.360481
49980.777848,480,283.366054
51524.874176,480,288.109035
51701.876083,480,289.010885
51364.270112,480,289.943169
51357.707345,480,290.820768
50413.942039,480,295.146872
51692.07638,480,296.040005
52324.375322,480,296.956013
50706.643312,480,297.882341
50674.890598,480,302.226504
50340.293603,480,303.161063
50606.623279,480,304.171506
49745.004789,480,305.212013
51258.166753,480,310.103289
51603.130094,480,311.108362
50238.248678,480,312.10934
51758.103026,480,313.136131
51516.16953,480,314.201742
52243.706154,480,318.901963
50349.945113,480,319.826587
50246.963263,480,320.708416
51970.981017,480,321.646339
50597.200725,480,326.021431
49330.245955,480,326.954313
52845.829192,480,327.879503
51438.298238,480,328.954262
50356.955267,480,333.760644
51643.27289,480,334.803954
51018.812245,480,335.817486
51199.710497,480,336.831306
51802.860637,480,341.659514
49954.700925,480,342.794981
52087.660756,480,343.90468
50331.57661,480,344.917013
50500.185566,480,345.949177
51410.341704,480,350.618693
49973.925672,480,351.560662
52620.570277,480,352.459693
50094.212707,480,353.408841
51326.387029,480,358.01619
52021.138641,480,358.98734
51216.571844,480,359.929439
51793.156579,480,360.893099
52828.633231,480,365.705523
51607.618429,480,366.86881
50569.442,480,367.904569
50167.068167,480,368.938034
50913.518531,480,370.013756
49831.881919,480,374.900131
52140.053303,480,375.912995
52266.737811,480,376.949744
52031.332704,480,378.060774
51153.032981,480,382.587207
51607.836348,480,383.49009
52218.988975,480,384.482208
50085.182338,480,385.417055
49691.737401,480,389.791954
50307.725805,480,390.732805
51366.571573,480,391.702072
51701.429189,480,392.635684
49338.613021,480,397.445161
51004.100398,480,398.482292
51193.143968,480,399.461053
51271.556192,480,400.498137
51222.858652,480,401.487431
