#{"t_start": 1768003767.9945974, "env_id": "None"}
r,l,t
50722.709764,480,1.284782
50927.967506,480,2.354515
49994.627241,480,3.418781
51550.527817,480,4.519537
49562.720057,480,9.612424
50876.00118,480,10.622623
49860.274852,480,11.571522
51562.678751,480,12.49614
50187.680805,480,16.931958
50288.081557,480,17.839099
51013.629468,480,18.720596
51067.673975,480,19.629713
50402.510352,480,23.971863
51353.041025,480,25.003881
50946.805175,480,25.920422
51762.218975,480,26.914986
51850.45549,480,27.895873
50301.812624,480,33.377472
50291.577248,480,34.580752
51534.407342,480,35.863631
51200.195646,480,36.953793
50919.477975,480,41.667171
53765.156273,480,42.577648
50197.247765,480,43.49362
49672.633314,480,44.397194
51963.739792,480,48.946892
51934.392045,480,49.923716
49832.441246,480,50.821504
52806.600793,480,51.74806
51282.172406,480,56.176986
52160.925878,480,57.172917
50639.839237,480,58.193206
50873.469011,480,59.189163
50646.139799,480,60.231341
50669.149935,480,65.094324
50463.124804,480,66.164825
50948.384482,480,67.210341
50890.125742,480,68.237185
51030.297126,480,73.119584
50452.136978,480,74.080321
48422.815531,480,75.250363
50787.607867,480,76.457011
52235.571466,480,82.492398
51256.598206,480,83.746233
51439.524802,480,84.948771
50356.80608,480,86.251098
52301.551844,480,92.130255
51138.533044,480,93.347323
51650.38106,480,94.676541
50871.061493,480,96.004265
51172.958026,480,97.374288
50457.912438,480,103.193694
50735.881074,480,104.550665
49918.05858,480,105.802502
50566.051661,480,106.998575
49573.806047,480,112.518894
51223.691135,480,113.668516
50121.603806,480,114.840243
49602.371423,480,116.007934
50464.909051,480,121.775883
50732.049405,480,123.008328
50791.170001,480,124.266506
50689.601165,480,125.479074
50713.637475,480,126.716058
52631.254053,480,132.616056
50413.837222,480,133.713848
51592.046466,480,134.855492
50873.0419,480,135.982329
50177.102031,480,140.264988
52796.374008,480,141.173278
51826.565708,480,142.044625
49682.272292,480,142.931778
50292.60641,480,147.268008
50375.451423,480,148.238611
49986.091991,480,149.242724
50577.595853,480,150.260648
51932.366356,480,155.095021
51387.956473,480,156.051135
50456.640198,480,157.059771
50569.560151,480,158.127084
50683.303236,480,159.102224
50907.30565,480,163.706134
49642.348547,480,164.635891
51498.286521,480,165.58036
50403.866895,480,166.50793
50575.905983,480,170.741915
50182.112267,480,171.745181
50899.758465,480,172.656359
50190.137035,480,173.647045
50215.286522,480,178.175187
49445.69843,480,179.193265
50641.993214,480,180.194457
51081.074031,480,181.18858
50841.54767,480,186.035616
52636.249958,480,187.056308
51835.367129,480,188.028915
51135.141856,480,189.053236
50621.748688,480,190.087909
50358.440358,480,194.752966
50618.379402,480,195.703444
50877.715017,480,196.629864
50543.272209,480,197.51447
51778.106831,480,202.009102
50892.412766,480,202.904127
52101.952033,480,203.836633
50410.28663,480,204.764492
51280.954803,480,209.619943
50794.002963,480,210.989676
51438.840723,480,212.272936
52064.458204,480,213.559358
51829.476628,480,219.071713
50293.818964,480,220.214139
49783.948695,480,221.31109
50387.529541,480,222.67228
49664.559304,480,224.206073
51087.665909,480,230.781322
51391.73353,480,232.299787
51853.49113,480,233.744397
50784.476898,480,235.103223
51857.08105,480,240.785729
50015.699824,480,241.960388
52360.711598,480,243.093805
50517.646655,480,244.249922
50620.306898,480,248.73366
49752.410009,480,249.673086
52761.111591,480,250.604288
51975.427643,480,251.688124
50996.38157,480,252.747819
50532.114121,480,257.601166
52027.057659,480,258.655889
52354.746343,480,259.750594
50156.348369,480,260.750745
50545.432174,480,265.618807
50025.922952,480,266.608049
49968.662417,480,267.641214
52353.78012,480,268.642345
51086.662752,480,273.648056
51307.834479,480,274.649176
49146.947952,480,275.667309
51965.015778,480,276.671427
51935.392724,480,281.37659
51113.447891,480,282.406637
51345.309141,480,283.469344
49847.726073,480,284.48347
50144.595818,480,285.653688
50480.524677,480,290.500365
50562.272184,480,291.52
50816.565601,480,292.555131
51952.425876,480,293.684783
52745.540663,480,298.137989
50747.721852,480,299.090593
50730.728349,480,300.049223
48985.75041,480,301.060161
50421.815557,480,305.610369
51174.675978,480,306.516179
50906.882135,480,307.47687
50870.707215,480,308.386654
49504.101344,480,313.147871
52610.609735,480,314.131087
50501.531373,480,315.124305
52178.92684,480,316.131574
51609.899386,480,317.118786
50890.073852,480,321.881658
52738.569824,480,322.885542
49855.263322,480,323.876684
52795.563079,480,324.858988
50974.363556,480,329.34755
51132.253351,480,330.269143
49483.873554,480,331.197012
50226.110871,480,332.131629
52626.945315,480,336.499741
49509.482686,480,337.412941
50869.991785,480,338.356903
51299.264303,480,339.30327
51505.750437,480,343.840289
51868.072439,480,344.834416
51995.889567,480,345.861537
50259.12026,480,346.854665
51100.885474,480,347.818345
49610.14681,480,352.48478
50036.290086,480,353.48301
51756.927766,480,354.418971
50817.269563,480,355.382396
51959.813402,480,359.890919
50648.17125,480,360.803591
50658.150407,480,361.667291
50419.574361,480,362.566744
51808.681565,480,367.776326
51267.802159,480,368.654948
51570.49167,480,369.57157
51778.305528,480,370.502102
50446.766791,480,371.441394
50143.744683,480,376.577119
51610.576835,480,377.580249
51166.838371,480,378.632881
50539.386968,480,379.657218
50499.216907,480,384.47181
51373.10768,480,385.522937
50831.81898,480,386.595474
51866.130824,480,387.598285
51570.3751,480,392.424243
50201.518966,480,393.473913
50049.942302,480,394.514102
49876.313403,480,395.505245
49891.865367,480,400.47511
51083.782259,480,401.498739
50457.694913,480,402.567956
48097.580999,480,403.594057
51658.509986,480,404.651735
