#{"t_start": 1768001766.7230062, "env_id": "None"}
r,l,t
52992.624809,480,1.10882
53169.488363,480,2.124022
51327.876495,480,3.218837
51135.022741,480,4.346191
52212.010433,480,9.20727
51221.750127,480,10.175691
51386.95797,480,11.13452
49034.99285,480,12.115763
49849.06113,480,16.665822
51534.570156,480,17.621485
49982.113544,480,18.564687
53078.081458,480,19.550541
50440.000062,480,24.613106
50030.80437,480,25.694008
51411.445555,480,26.766725
50987.651156,480,27.89613
50952.016257,480,28.965869
51717.29827,480,33.837235
50670.239375,480,34.817406
52503.262369,480,35.741996
48965.944286,480,36.661569
52051.485751,480,41.071727
51618.34491,480,42.013958
50668.722029,480,42.931427
51977.540838,480,43.860369
49108.331273,480,48.260114
50815.215264,480,49.200967
51749.217248,480,50.224496
50304.058404,480,51.276617
51347.005555,480,56.317414
49646.210447,480,57.391187
51109.438167,480,58.46231
51643.417246,480,59.541978
50957.140242,480,60.675706
50526.306298,480,65.603595
52323.986926,480,66.54984
51200.720391,480,67.529894
49847.983253,480,68.495803
51520.185599,480,72.840068
52334.419116,480,73.762821
50125.383643,480,74.663018
49133.441289,480,75.637418
49172.065078,480,80.132517
51686.761983,480,81.208746
50973.088305,480,82.292103
49135.762614,480,83.343729
52279.871903,480,88.851182
50113.728013,480,89.871685
51631.557414,480,91.086634
49405.549001,480,92.146842
52539.161126,480,93.239778
51270.95005,480,97.891224
50893.72973,480,98.806718
50643.522322,480,99.784127
51040.067738,480,100.769161
53543.589966,480,105.297211
51978.75473,480,106.258791
49333.862338,480,107.236392
50820.494577,480,108.141936
50527.441339,480,113.112586
49898.811829,480,114.18319
49691.889128,480,115.229895
50953.736246,480,116.285065
50539.129259,480,117.317698
49401.073045,480,122.21945
50247.648619,480,123.272112
50692.660124,480,124.281232
51387.865236,480,125.291358
51441.24814,480,129.688391
51941.313367,480,130.617633
51464.281023,480,131.5288
49026.910605,480,132.448405
50219.75991,480,136.850652
50944.563521,480,137.772657
50824.166215,480,138.659343
52016.451917,480,139.642568
51623.302316,480,144.439883
53008.502411,480,145.456369
51290.146169,480,146.469538
50188.139414,480,147.451779
51913.174532,480,148.476027
50513.186943,480,153.354474
50867.175703,480,154.40467
50904.491038,480,155.379797
49527.420622,480,156.307292
50772.205786,480,160.822633
51243.794609,480,161.743854
49510.616304,480,162.709457
49383.621616,480,163.642985
52515.792925,480,168.046245
51304.594988,480,168.991019
48859.517805,480,169.952197
51198.754745,480,170.999887
52442.690443,480,175.839121
49719.230427,480,176.840809
52180.187058,480,177.897377
50682.719798,480,178.915157
50891.934496,480,179.962579
50792.788872,480,184.994888
50664.04189,480,185.963846
50579.679708,480,186.940904
49674.563578,480,187.896293
53199.0735,480,192.314885
51039.059061,480,193.281973
50646.30387,480,194.199325
51993.413653,480,195.219717
50101.673941,480,199.682909
51139.195158,480,200.710909
50803.064726,480,201.754506
51864.458379,480,202.741224
49305.992724,480,207.710125
49505.011956,480,208.692259
50532.508196,480,209.681451
51050.846942,480,210.679969
52106.799324,480,211.725444
50170.517654,480,216.418565
49642.660689,480,217.392485
51938.441535,480,218.33008
49981.404355,480,219.285168
51479.169747,480,223.799115
50484.248754,480,224.732991
49058.635796,480,225.681876
51787.921174,480,226.656152
49752.730469,480,231.197706
51317.240391,480,232.35959
49892.459158,480,233.686737
50716.965008,480,234.917018
50816.952717,480,236.161509
50053.704823,480,241.128883
50655.342996,480,242.152056
50509.746503,480,243.200546
48963.702591,480,244.202783
49828.276024,480,248.641155
51630.836851,480,249.567341
51806.605077,480,250.483666
50774.7633,480,251.43634
50279.403481,480,255.84977
49539.588247,480,256.757846
50798.393834,480,257.677959
50991.863581,480,258.608204
51830.240359,480,264.035681
51504.920898,480,265.131566
51213.419818,480,266.131736
50513.900539,480,267.105997
49696.306569,480,268.259193
51287.945685,480,273.222431
51519.27004,480,274.240543
52240.068909,480,275.323283
49511.806508,480,276.541412
51498.097529,480,282.182088
51129.587373,480,283.317203
51633.878706,480,284.500939
49084.261292,480,285.608252
50968.811756,480,291.370914
50379.0846,480,292.589891
53024.66502,480,294.03106
50803.471992,480,295.40026
50296.326679,480,301.589201
52237.725558,480,303.010725
49947.773862,480,304.615003
51081.027056,480,306.054941
50441.767286,480,307.347812
50396.777916,480,313.374422
50302.688049,480,314.701824
51357.777615,480,316.301996
51011.03636,480,317.512248
51327.75808,480,323.301159
49306.751362,480,324.650015
50308.77731,480,326.00172
51157.37009,480,327.25289
49737.098304,480,333.430376
51499.834598,480,334.790395
51466.420718,480,335.945146
50627.748811,480,337.117522
51348.499412,480,341.944742
51617.38896,480,342.867341
50819.860175,480,343.786054
50832.844969,480,344.738448
51853.835669,480,345.707899
49173.316372,480,350.188294
51365.320664,480,351.24288
50897.671618,480,352.306557
50180.051394,480,353.374076
49292.597327,480,358.435264
51618.049071,480,359.455846
51368.589174,480,360.508193
52790.19998,480,361.547502
50672.971824,480,366.517788
51917.684901,480,367.427399
51294.850831,480,368.356534
52340.531064,480,369.26247
50618.230399,480,370.20189
51347.808157,480,374.696093
49973.774639,480,375.648256
50736.891794,480,376.547426
53307.208792,480,377.458446
50525.529982,480,382.269678
50734.249433,480,383.321947
49669.876333,480,384.378376
50143.854635,480,385.437709
51154.198659,480,390.458504
51376.354121,480,391.55292
50353.139465,480,392.61179
48893.283691,480,393.667301
51279.842157,480,398.23661
50557.553365,480,399.204441
50374.225533,480,400.174399
51376.648602,480,401.14988
50505.228557,480,402.113935
