#{"t_start": 1768002571.6088796, "env_id": "None"}
r,l,t
51614.312011,480,1.077812
52183.887436,480,2.13164
51829.977536,480,3.122867
51256.610977,480,4.163491
52077.607678,480,9.311814
50840.535912,480,10.319975
50879.79234,480,11.330141
52459.086746,480,12.372879
51010.284578,480,17.499617
50934.350707,480,18.414827
51010.768722,480,19.378679
50487.490265,480,20.301411
49176.530806,480,24.740882
49868.605827,480,25.676181
51006.125426,480,26.653719
50157.932969,480,27.619288
51794.926055,480,28.571981
50208.881589,480,33.119476
50016.900779,480,34.263624
51545.521559,480,35.348259
51679.730748,480,36.416735
51366.987447,480,41.508976
52012.821456,480,42.556618
50209.325186,480,43.602744
50945.996458,480,44.682403
50795.357923,480,49.641743
49905.602424,480,50.590996
49502.627041,480,51.564153
51109.256394,480,52.587678
50236.860186,480,57.108891
50782.098412,480,58.030037
50903.332788,480,58.99516
52241.667159,480,59.981299
51527.180362,480,60.895645
52375.319177,480,65.478596
50501.676153,480,66.499977
50661.494672,480,67.530047
51577.146821,480,68.58577
51079.684387,480,73.923705
51012.679048,480,74.936368
52332.276687,480,75.954539
52192.917127,480,76.991199
50357.303292,480,82.234113
50211.975173,480,83.125664
49668.635656,480,84.066109
49728.857079,480,84.9735
52164.404741,480,89.776899
51596.493393,480,90.707287
49994.900954,480,91.640158
53360.227496,480,92.597276
51037.195061,480,93.528256
49688.765308,480,98.365401
50359.665351,480,99.340817
49609.423851,480,100.410155
50856.073151,480,101.410811
49033.725543,480,106.396224
49978.238614,480,107.394628
50472.082207,480,108.390252
50439.288224,480,109.387889
51786.89519,480,114.398511
51399.85753,480,115.379512
51138.924941,480,116.370686
49420.65455,480,117.390958
49765.472195,480,118.39017
50233.120386,480,123.419774
50410.438446,480,124.48804
49785.011234,480,125.480579
50895.668139,480,126.454175
50852.961694,480,131.452318
51478.247722,480,132.462464
52422.554045,480,133.467332
51225.314099,480,134.496403
51664.783564,480,138.972045
49224.001999,480,139.907454
52353.339666,480,140.836899
51649.926155,480,141.793719
50262.982212,480,146.08817
53948.657679,480,147.015878
51389.498905,480,147.887306
50482.391493,480,148.836014
52422.206228,480,149.769268
52371.87738,480,154.958597
52459.444124,480,155.993858
51199.192123,480,156.998816
51662.55885,480,157.996678
51269.814016,480,163.170046
50640.009632,480,164.22543
50567.800217,480,165.272582
51497.432204,480,166.263295
51721.186602,480,171.373953
50930.453531,480,172.38982
49762.423429,480,173.426816
51293.001996,480,174.425813
48405.691497,480,179.552518
50717.632912,480,180.592661
51311.144843,480,181.571371
50584.267227,480,182.462647
50571.08932,480,183.403749
51094.556686,480,187.841684
51278.357777,480,188.814107
49410.444987,480,189.792067
49920.609231,480,190.74688
51035.813403,480,195.260417
50437.984443,480,196.275288
51135.849276,480,197.359275
49521.347084,480,198.458387
51184.744904,480,203.418533
52420.723964,480,204.476079
51446.347841,480,205.490294
52759.803165,480,206.531758
50390.625592,480,211.539057
51191.399669,480,212.584253
49561.959851,480,213.646987
51694.928022,480,214.744903
51295.242872,480,215.751148
51729.128454,480,220.976758
51528.314282,480,222.029355
50838.764896,480,223.077954
52165.993868,480,224.130947
50478.987674,480,229.283564
51706.661654,480,230.34826
51232.704694,480,231.35142
52265.171058,480,232.355373
50710.071836,480,236.852002
51077.806447,480,237.777735
51008.583334,480,238.773168
51787.949643,480,239.708612
51211.78088,480,240.690231
50004.038174,480,245.14824
53409.855269,480,246.076987
49613.364331,480,247.060968
50031.909982,480,248.083146
50436.587347,480,253.146625
50587.324328,480,254.180938
52286.94232,480,255.211062
51253.837109,480,256.23053
52268.824499,480,261.065295
51911.165041,480,262.055401
51451.148768,480,263.054887
50551.15394,480,264.081248
51774.219582,480,269.175134
51865.977936,480,270.147338
49966.315645,480,271.170148
48634.905746,480,272.209491
52157.132766,480,273.247948
50960.617422,480,278.084001
52835.528549,480,279.081939
52418.624686,480,280.128391
49953.986896,480,281.121619
49881.453616,480,285.437469
50370.037826,480,286.384278
50953.052483,480,287.28811
50610.453152,480,288.201673
50151.687475,480,292.546597
50946.124169,480,293.445123
51687.540257,480,294.35221
50609.309133,480,295.264672
51543.200329,480,300.012445
51456.10345,480,301.012553
51626.317117,480,302.011729
50771.148675,480,302.986386
51919.398886,480,304.039098
50388.144869,480,309.171425
53107.673153,480,310.143567
49677.374207,480,311.140734
50454.789465,480,312.126927
50693.017233,480,317.221194
50929.702811,480,318.200629
49799.372294,480,319.199283
52189.566559,480,320.179446
50717.687859,480,324.970713
52619.366183,480,325.901774
51436.132786,480,326.876639
51340.987329,480,328.005352
50014.043165,480,333.055778
51795.466388,480,333.995477
52840.569802,480,334.925071
50956.060599,480,335.863478
51089.296566,480,336.791043
51637.405915,480,341.852308
52558.691341,480,342.855505
50173.235465,480,343.869431
51079.336181,480,344.918165
49976.830728,480,350.080869
50708.565834,480,351.116606
52441.927659,480,352.167832
52235.007805,480,353.161178
50334.799503,480,358.294527
51168.584281,480,359.451717
49676.310597,480,360.623262
52159.576849,480,362.078936
51155.937845,480,363.346835
50550.793899,480,369.203669
50293.923557,480,370.409851
53416.136408,480,371.780932
50815.476304,480,373.128953
52662.865415,480,378.844005
49763.074189,480,379.997231
50749.392892,480,381.136188
51054.782612,480,382.396026
50285.93084,480,387.889965
51708.855349,480,389.083003
51694.91678,480,390.342368
51185.415176,480,391.602484
50321.173576,480,397.957644
52027.333614,480,399.219977
51156.117007,480,400.615325
51459.657852,480,401.945894
51292.492218,480,403.403188
