#{"t_start": 1768003379.5081801, "env_id": "None"}
r,l,t
50382.957974,480,1.075582
52264.458296,480,2.116414
51828.975335,480,3.122424
50547.172478,480,4.150368
51192.373399,480,8.631102
50398.622216,480,9.581849
50803.060478,480,10.539795
51089.806977,480,11.445701
50766.715835,480,16.028697
53155.993568,480,16.931455
51905.878846,480,17.885301
52211.382935,480,18.75689
51793.841132,480,23.635199
49531.882076,480,24.720036
51914.767043,480,25.733399
51317.735909,480,26.736987
51762.331173,480,27.768313
51034.990391,480,32.580007
50923.004659,480,33.598247
51066.698331,480,34.626648
50194.854718,480,35.593904
52091.41743,480,40.089273
51899.553777,480,41.016599
53162.384701,480,41.973314
50286.765289,480,42.890347
50228.160147,480,47.476911
50393.095778,480,48.467756
52687.545627,480,49.409681
53167.457332,480,50.342095
50815.961018,480,55.266072
53120.043516,480,56.350848
49558.957544,480,57.388884
52180.196972,480,58.438163
51011.366179,480,59.492973
52651.114564,480,64.48465
50573.125056,480,65.490344
51321.979552,480,66.443151
49974.495612,480,67.327518
50648.813738,480,71.828996
51085.684669,480,72.769606
50252.68317,480,73.767609
52476.856905,480,74.739854
50256.018653,480,79.184714
50434.743288,480,80.126931
51808.87193,480,81.169523
51818.536337,480,82.172226
49030.961496,480,87.155633
50888.027061,480,88.200283
49301.641301,480,89.224406
51522.479182,480,90.248693
49488.861473,480,91.318334
49509.127344,480,96.420431
50655.180921,480,97.345147
51869.727214,480,98.238745
52547.864451,480,99.137525
51087.159395,480,103.449812
50344.239918,480,104.469026
51275.443471,480,105.308806
51049.261124,480,106.207152
49506.54849,480,110.529218
52150.014879,480,111.471608
51536.232694,480,112.528769
51728.351532,480,113.521879
49037.56067,480,114.499123
49795.96847,480,119.348363
53166.87329,480,120.355831
49640.664235,480,121.364024
51955.676891,480,122.344147
51273.896466,480,127.117412
50411.535198,480,128.095083
51431.405151,480,128.990281
51569.198546,480,129.961361
51162.241199,480,134.452536
50047.001452,480,135.385243
49925.901225,480,136.310042
50759.16043,480,137.234716
50834.080545,480,141.820591
49663.76371,480,142.854779
51289.316049,480,143.833802
50212.042278,480,144.830951
49198.14558,480,145.851165
50462.600517,480,150.776105
49865.655456,480,151.712224
49975.327249,480,153.066668
51557.95255,480,154.670992
52102.215332,480,159.585441
50467.423093,480,160.587868
50139.832199,480,161.70123
51953.762308,480,162.7545
49772.016926,480,167.22218
50561.316001,480,168.189072
51038.326263,480,169.095877
49354.526475,480,170.032721
51571.450814,480,174.713481
50892.466849,480,175.758119
50212.297681,480,176.804789
49531.304013,480,177.836956
50946.704106,480,178.863116
51255.297516,480,183.856829
52768.455699,480,184.897036
51045.610875,480,185.885778
52160.625183,480,186.912974
50487.034513,480,191.432484
49961.445051,480,192.549804
51057.941665,480,193.672215
53479.69948,480,194.623781
50329.820305,480,199.144127
50349.554981,480,200.117975
51482.706366,480,201.082684
50315.011286,480,202.077431
51684.524647,480,206.990435
50357.787827,480,208.046781
49994.183106,480,209.182711
50332.034053,480,210.318013
51327.003216,480,211.37427
49823.956938,480,216.319779
51873.678248,480,217.312399
52265.718097,480,218.284582
52231.755898,480,219.220548
50678.230471,480,223.803994
52480.050987,480,224.782293
50979.049672,480,225.746662
50869.365143,480,226.673661
52088.840314,480,231.216234
50510.203921,480,232.227425
52641.26824,480,233.298324
49619.169552,480,234.370648
51892.022726,480,235.385389
50234.349657,480,240.376949
50547.015528,480,241.430096
51625.042576,480,242.485693
50387.839572,480,243.558762
50429.964842,480,248.406778
51372.566956,480,249.351465
51315.704858,480,250.289445
49908.343247,480,251.222328
52373.061958,480,255.783708
50733.817442,480,256.763519
49742.186573,480,257.696348
51850.533422,480,258.624112
51342.429996,480,263.071421
51329.607542,480,264.079908
50409.753007,480,265.116592
52164.624132,480,266.113234
49710.39787,480,267.152308
50906.879412,480,271.952316
50145.010355,480,272.970644
51521.046636,480,273.98888
50369.769208,480,275.132728
51529.950257,480,279.636004
50285.503252,480,280.496172
51428.445356,480,281.371761
52435.12933,480,282.282325
51145.526003,480,286.60175
50656.533799,480,287.509574
49886.860957,480,288.420901
50058.98089,480,289.310219
50634.060769,480,293.783112
52233.50047,480,294.762011
49433.929578,480,295.719009
51169.779648,480,296.72341
50020.951456,480,297.692823
50565.741724,480,302.480711
49476.500463,480,303.462126
49533.140035,480,304.465497
50140.162364,480,305.445769
50576.136073,480,310.159803
50658.805372,480,311.09047
51369.212161,480,312.131311
51100.719652,480,313.035753
51741.349106,480,317.526984
50662.307429,480,318.438665
52035.012338,480,319.388525
50681.363923,480,320.391075
50210.67398,480,324.878922
51533.180968,480,325.884588
52442.81569,480,326.891253
50205.308122,480,327.934305
50430.835133,480,328.871656
50104.814427,480,333.7326
52760.131,480,334.718246
51384.149471,480,335.706517
50966.627889,480,336.722745
51201.527196,480,341.47136
50056.736537,480,342.406044
50649.619842,480,343.341336
50426.51528,480,344.287192
51406.892917,480,348.749689
49909.05433,480,349.703365
50412.585592,480,350.682014
50669.330787,480,351.570616
50159.824153,480,352.504234
53089.447816,480,357.525293
50320.01711,480,358.609536
52323.166913,480,359.660224
50724.460107,480,360.701606
52526.850162,480,365.491637
51018.841935,480,366.562423
53323.806816,480,367.537609
52316.548869,480,368.570735
50370.475622,480,373.125027
49756.449005,480,374.15854
51332.403023,480,375.113273
50472.053872,480,376.059409
52404.761409,480,380.583534
51321.562767,480,381.531721
51232.365721,480,382.443374
50187.344335,480,383.411008
50262.176149,480,384.421176
