#{"t_start": 1768004176.8315182, "env_id": "None"}
r,l,t
50278.873098,480,1.202438
51798.359065,480,2.181296
50025.869197,480,3.0932
49330.795766,480,3.997405
51654.829751,480,8.574729
49930.562155,480,9.475931
49968.957963,480,10.477453
50956.586995,480,11.385638
50396.043926,480,15.827347
50171.972157,480,16.88472
50522.599318,480,17.900862
51380.609385,480,18.895553
51056.129717,480,23.865701
50518.85541,480,24.939675
50601.75853,480,26.069111
51169.380684,480,27.165101
50629.485186,480,28.213304
51344.031396,480,33.235582
50278.959471,480,34.165029
50422.383917,480,35.091125
50817.247762,480,36.006731
51271.347548,480,40.559779
51483.099448,480,41.542897
50584.271265,480,42.503664
49595.508728,480,43.50991
49837.527091,480,48.293888
51043.764236,480,49.378634
50248.81071,480,50.417789
50926.873673,480,51.460423
50993.40604,480,56.508153
50919.546692,480,57.592795
51018.681263,480,58.660616
50865.027358,480,59.707734
51558.618993,480,60.766363
51669.001621,480,65.310253
51372.416458,480,66.224001
49555.357973,480,67.190138
51116.258866,480,68.144288
49321.414726,480,72.644685
50085.737711,480,73.605531
49826.523765,480,74.56378
52486.195176,480,75.628566
51567.750421,480,80.645334
50673.102762,480,81.674702
52301.421943,480,82.729158
51154.650103,480,83.74934
51480.011135,480,88.590798
52222.432274,480,89.621069
50177.468546,480,90.620084
50489.278697,480,91.587923
48696.381246,480,92.567682
51687.645885,480,97.012999
51066.599053,480,97.962214
49125.224236,480,98.872201
51177.224202,480,99.79649
51430.479378,480,104.292253
52507.895294,480,105.179902
50887.807805,480,106.147565
49569.078741,480,107.136697
52453.122895,480,112.087346
51258.748841,480,113.092474
51169.914602,480,114.077476
50049.288574,480,115.136828
50651.463283,480,116.193071
50432.136493,480,121.119149
51916.43909,480,122.086926
50499.6624,480,123.006133
51669.769799,480,123.914736
52156.113347,480,128.374197
50450.730619,480,129.340829
51925.086901,480,130.220285
48569.796823,480,131.180846
50944.032774,480,135.606279
50611.152808,480,136.624427
51466.893634,480,137.641727
52119.227238,480,138.667196
51283.528979,480,143.620425
49304.737653,480,144.594898
50617.951324,480,145.633406
50365.453071,480,146.820444
49566.76259,480,147.856607
51190.33954,480,152.632749
51270.397495,480,153.609195
51339.79102,480,154.527198
51876.28295,480,155.455933
52220.295906,480,159.805183
51506.866139,480,160.728414
50903.909679,480,161.650914
52362.385424,480,162.53035
50298.586799,480,166.943771
50884.746666,480,167.866554
51346.843192,480,168.825598
51240.885343,480,169.809594
51713.596207,480,174.651356
52185.369198,480,175.691101
51086.766081,480,176.775543
50723.009823,480,177.768009
51130.337209,480,178.763173
51717.697277,480,183.589531
50803.881443,480,184.585749
52390.702822,480,185.627584
51169.607871,480,186.644549
51159.284306,480,191.440784
49279.50303,480,192.422022
49366.484602,480,193.337433
50178.229134,480,194.250049
50676.107519,480,198.668227
50826.052855,480,199.59729
51284.197551,480,200.525332
50731.113585,480,201.50944
51704.371351,480,205.984132
51177.534453,480,207.11445
51320.611775,480,208.117575
50419.44889,480,209.126188
53447.399835,480,210.142302
52580.248098,480,215.366541
50752.068221,480,216.583323
53660.660318,480,217.649197
51233.460385,480,218.683779
51201.515221,480,223.654163
51284.491002,480,224.595866
51272.960097,480,225.527393
49839.423849,480,226.452118
50491.12352,480,230.918849
50377.461362,480,231.814549
50950.780848,480,232.7173
51410.066214,480,233.624353
51247.581229,480,234.554136
52073.512275,480,239.154859
49448.086238,480,240.164285
51546.91075,480,241.178594
51478.386567,480,242.172129
49724.177747,480,246.901171
50602.145338,480,247.917827
51443.441094,480,248.9179
50745.994541,480,249.998096
50367.08031,480,254.594331
51551.754259,480,255.584526
50402.480141,480,256.504454
52308.015852,480,257.432807
51645.110219,480,261.744605
50954.258296,480,262.639323
50515.169532,480,263.51979
50946.198732,480,264.406492
50599.829622,480,265.293255
50747.203646,480,269.669332
50011.848008,480,270.612182
52119.427637,480,271.591081
50212.462304,480,272.575853
51819.566522,480,277.361804
50557.243102,480,278.358293
49892.155091,480,279.317166
51503.664038,480,280.291268
50231.626146,480,284.802362
49360.986827,480,285.697084
50172.503405,480,286.598604
51825.911393,480,287.487388
50175.53712,480,291.790555
51169.868937,480,292.7329
49833.917561,480,293.59715
51324.136318,480,294.557362
50054.883202,480,295.550864
49276.53185,480,300.267737
50407.563087,480,301.285
50351.124547,480,302.264338
49899.39675,480,303.245478
49834.663446,480,307.960838
50690.61276,480,309.049304
51323.968762,480,310.062799
50055.671554,480,311.059473
51976.688124,480,315.711951
50230.33681,480,316.595453
49522.386234,480,317.592398
50974.131225,480,318.513622
48718.171612,480,322.864
51705.239491,480,323.784595
51099.398153,480,324.720208
52199.771559,480,325.623124
50910.892233,480,326.542459
50453.381559,480,331.346773
50344.193943,480,332.353195
52824.971765,480,333.382964
51486.887447,480,334.424422
51578.82965,480,339.296257
50517.772289,480,340.305189
51206.014475,480,341.372176
51164.288938,480,342.354157
49368.401408,480,346.831627
52257.606821,480,347.751689
50956.983611,480,348.636875
52502.400775,480,349.5662
50473.62985,480,350.468246
51219.897927,480,354.845594
50839.285264,480,355.796202
50837.785142,480,356.82695
50035.76737,480,357.784516
48952.607198,480,362.606138
50497.188536,480,363.657083
50600.146495,480,364.690514
50967.52626,480,365.685989
49582.510113,480,370.423719
51756.584784,480,371.423025
50533.567192,480,372.445954
49719.3617,480,373.457635
51344.388216,480,377.829495
48752.267683,480,378.801917
50905.035104,480,379.70282
51468.436159,480,380.674781
52039.590375,480,381.603626
