#{"t_start": 1767992490.0874276, "env_id": "None"}
r,l,t
51560.731481,480,1.684587
51210.258264,480,3.955999
50671.577352,480,5.905028
52270.929661,480,7.8662
51199.733254,480,18.038561
49117.470303,480,20.571619
49911.723367,480,23.52389
50219.553498,480,26.308308
51024.675526,480,38.68232
50378.434625,480,41.629206
51054.540461,480,44.864939
50478.962601,480,47.733066
50484.380067,480,56.230229
49180.73474,480,58.493996
51692.125149,480,60.350146
50450.712039,480,61.957966
51662.307768,480,63.464131
49201.934887,480,73.405395
51841.873632,480,74.935827
50349.507041,480,75.880799
49451.00076,480,77.174575
50172.025079,480,82.56685
50334.072592,480,85.56431
51069.147469,480,87.399302
52044.282273,480,88.412596
49383.755458,480,94.015657
50648.383011,480,95.024281
50238.681291,480,96.245869
51479.550839,480,97.222558
51884.052615,480,105.321986
49817.547388,480,106.290081
50965.744569,480,107.37199
51657.239204,480,108.409395
50780.515631,480,109.479904
51118.604181,480,116.889758
50255.592318,480,118.049123
53455.094976,480,119.070195
51546.661581,480,120.068315
51456.264722,480,125.254435
50488.698858,480,126.238976
50803.576235,480,127.632245
51175.384554,480,130.315402
50295.56401,480,136.637979
51620.151846,480,137.580426
51340.866225,480,138.541806
52498.215129,480,139.522509
51635.650057,480,146.342457
50723.792573,480,149.060246
52043.487763,480,150.945805
51596.147992,480,153.62363
52387.518111,480,156.113773
52902.835529,480,167.859519
51071.285783,480,169.56516
50062.729554,480,172.224914
51654.741178,480,175.189781
50209.904083,480,184.359893
51716.78015,480,186.815948
51694.684854,480,189.944975
52409.758438,480,192.625209
48918.278824,480,205.355899
53818.663474,480,208.241357
50367.836589,480,210.737226
52997.009175,480,213.14487
51024.851861,480,215.609169
51778.676925,480,227.823219
52489.961844,480,230.62127
51936.453513,480,233.005701
52256.584989,480,235.785915
51445.26072,480,245.073169
50688.105102,480,246.629178
53931.652847,480,247.517313
50487.411115,480,249.808086
49998.543378,480,255.540679
50525.56734,480,256.445732
51025.962583,480,257.349111
50828.435579,480,259.032273
52211.057072,480,268.258126
51106.134516,480,270.311
51564.261631,480,271.746279
52010.53398,480,272.660914
52144.572107,480,274.394892
50907.081891,480,281.259921
52746.456221,480,283.116282
51716.412707,480,283.989812
50629.197111,480,285.111132
51858.272211,480,290.707577
51761.067457,480,291.349974
50498.396692,480,291.943587
52436.530129,480,292.443505
49979.219337,480,296.867932
50722.60317,480,297.354941
51686.72076,480,297.833477
51988.425208,480,298.570703
50744.834543,480,302.193555
51199.331359,480,303.201055
51558.576359,480,304.396683
52158.874881,480,305.309571
