#{"t_start": 1768000454.4796853, "env_id": "None"}
r,l,t
50645.287861,480,0.798936
51456.467449,480,1.539489
50972.165728,480,2.059622
51775.186844,480,2.768434
50927.528065,480,7.450822
50725.536905,480,8.134077
48775.800559,480,8.712057
51635.530222,480,9.459862
51952.259736,480,13.21999
51847.603241,480,14.249588
49453.114579,480,15.075369
49438.642264,480,15.801242
51149.877486,480,19.819347
50029.209095,480,20.664186
50993.399309,480,21.437875
50526.956157,480,22.131984
50827.512743,480,23.200222
48720.435465,480,26.710345
51993.364658,480,27.418117
49580.395527,480,27.978983
50930.325422,480,28.570003
52832.283063,480,33.693474
52483.568798,480,34.288019
51144.09976,480,34.873266
51115.902174,480,35.641505
50731.885183,480,39.326996
51289.140772,480,40.235078
49141.84099,480,41.225796
52002.272584,480,41.970293
50396.636422,480,45.373915
51583.861771,480,46.045993
50800.879535,480,46.734048
50186.93034,480,47.417323
50277.62725,480,48.269366
50721.760119,480,52.027079
51901.865791,480,52.559804
50965.978256,480,53.30207
51589.661709,480,53.869507
50061.140463,480,58.718538
51077.634276,480,59.938709
51214.17665,480,60.736129
51778.270943,480,61.322402
50488.569038,480,66.608031
50269.880044,480,67.637671
51225.96909,480,68.220892
51649.812995,480,69.257683
50820.035548,480,73.054777
49686.109751,480,73.817389
50283.898402,480,74.637672
49691.284555,480,75.327858
51235.811242,480,76.570287
50197.219258,480,82.095682
50786.950628,480,83.951663
50284.063354,480,85.217909
49567.326198,480,86.441374
53017.250901,480,90.938666
49392.424726,480,91.874004
50090.852783,480,93.047276
50975.249832,480,94.099239
51996.74715,480,97.785338
50360.661294,480,98.750596
51900.973244,480,99.903506
50875.594345,480,101.269555
50375.57665,480,102.400334
50985.994544,480,105.921931
51091.133835,480,106.557004
50748.771784,480,107.503724
50665.999525,480,108.455724
52156.960345,480,113.279683
50393.603476,480,113.899921
50546.656268,480,114.73482
49715.424308,480,115.524806
52282.252621,480,121.271072
52467.946248,480,122.081659
50602.669644,480,123.23891
49744.006956,480,124.043926
52208.59387,480,130.386429
51082.259527,480,131.241024
52314.991472,480,132.946387
51323.692775,480,136.012817
51101.600259,480,139.485258
50072.911012,480,155.25242
50394.821604,480,158.07772
53807.263755,480,162.269017
50363.352321,480,165.347046
51200.130193,480,179.536076
50749.107472,480,181.911158
50260.254976,480,184.348083
50511.684088,480,186.599244
51281.894281,480,199.259694
49586.296389,480,201.798923
51936.576521,480,204.000551
49818.989721,480,208.398581
49836.966091,480,227.507547
50671.084707,480,229.904564
51584.803329,480,231.110406
51937.228418,480,231.939209
50704.436341,480,232.744848
49930.360468,480,237.211588
49720.896436,480,238.409204
52131.088613,480,239.155906
50885.506252,480,239.684315
52568.684189,480,243.383873
51506.495427,480,244.130816
50733.63087,480,244.910532
51347.224549,480,245.559095
52835.836846,480,252.626879
50871.323327,480,253.380919
50351.110623,480,254.109224
51987.439556,480,255.754126
52844.127986,480,261.642015
50695.579316,480,262.279484
49906.922864,480,262.736957
51904.356131,480,263.30591
50456.420334,480,263.780595
50363.942172,480,266.975751
53654.303381,480,267.590284
52660.907994,480,268.281734
50164.214027,480,269.08288
50921.211929,480,271.962886
50501.894298,480,272.63797
50451.953142,480,273.598414
49612.562944,480,274.809337
52154.7204,480,280.543086
50007.962222,480,281.177113
49768.106643,480,282.109719
50043.507069,480,282.936018
51915.318844,480,283.916005
50767.398903,480,288.653065
51065.039768,480,289.354397
51721.537186,480,290.095262
50481.625304,480,291.041779
51519.484205,480,295.625848
49430.573271,480,296.511153
50290.231778,480,297.862961
51066.244389,480,298.959836
50042.216964,480,304.023137
50503.45448,480,304.756803
50840.808173,480,305.407646
51527.654175,480,306.00708
50816.04888,480,311.458001
52166.616435,480,312.221411
50482.359317,480,312.793784
50316.209487,480,313.425167
50039.362032,480,314.255767
51154.776899,480,319.329307
50937.705176,480,320.518074
52201.267054,480,323.001109
50973.163284,480,324.090517
51254.344285,480,329.973856
51009.039453,480,330.70871
48494.096756,480,332.055933
50572.027421,480,333.48775
51074.413955,480,338.866673
51819.022155,480,339.419313
50790.992795,480,339.927454
52644.706438,480,340.451149
49832.333904,480,346.696448
50835.421277,480,347.476291
50222.266552,480,348.190018
49355.69337,480,348.80139
49154.413252,480,349.407042
50982.480713,480,353.675948
50260.896649,480,354.365795
51450.790396,480,354.942632
50427.730828,480,355.495
49760.740488,480,359.792457
50463.418575,480,361.039168
50543.776534,480,362.350562
50613.8268,480,363.102174
50400.96667,480,366.468273
52060.69927,480,366.947299
49965.013845,480,367.474738
51268.640541,480,368.473256
49881.807828,480,373.600677
51992.65147,480,374.17698
51291.706306,480,374.768301
50948.566024,480,375.340996
50473.913778,480,375.899563
52001.326019,480,379.257257
51350.937805,480,379.921782
48915.568607,480,380.696861
51766.509371,480,382.056465
51638.884645,480,393.349157
52874.82577,480,397.713653
51209.839143,480,399.734295
50130.956243,480,402.369706
51424.206225,480,411.138927
51262.085308,480,414.625849
52141.879646,480,420.61227
54913.274849,480,422.456872
50655.809953,480,424.271447
48999.559515,480,432.082299
50671.5935,480,433.569689
51331.640795,480,435.057836
51003.849715,480,436.299829
50308.558389,480,441.579028
51538.741152,480,442.593231
52176.214506,480,443.667331
52623.547206,480,444.72152
51894.379184,480,449.411754
51509.147157,480,450.384111
51090.414905,480,451.317505
52141.814219,480,452.328715
51645.544096,480,457.41551
51240.596788,480,458.583789
51202.859581,480,459.593077
50455.45147,480,460.633617
51430.655669,480,461.951222
