day,date,milp_profit,ppo_profit,milp_cumulative,ppo_cumulative,milp_soh,ppo_soh,avg_price,min_price,max_price,price_volatility,milp_utilization,ppo_utilization,milp_arbitrage,ppo_arbitrage,milp_flexibility,ppo_flexibility,milp_degradation,ppo_degradation,milp_fcr_revenue,milp_afrr_revenue,milp_mfrr_revenue,ppo_fcr_revenue,ppo_afrr_revenue,ppo_mfrr_revenue,milp_fcr_utilization,milp_afrr_utilization,milp_mfrr_utilization,ppo_fcr_utilization,ppo_afrr_utilization,ppo_mfrr_utilization
266,2024-09-22,1155.2608540130861,2244.1337381629196,402138.00488484255,520110.2624669201,0.9734000000000029,0.9714240000000038,34.96385074947756,10.305126583224867,64.16808155891027,15.958368791874799,0.0,0.03166666666666667,0.0,50.3624678278067,1155.2608540130861,2196.9379370017796,0.0,3.166666666666667,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.0
267,2024-09-23,1154.5591495698857,2257.8539966312524,403292.56403441244,522368.1164635513,0.9733000000000029,0.9712480000000039,35.79618335714324,12.532210067652688,59.21791178024954,14.91299037816174,0.0,0.03166666666666667,0.0,64.08272629613921,1154.5591495698857,2196.9379370017796,0.0,3.166666666666667,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.0
268,2024-09-24,1153.9420274109848,2240.238097610013,404446.5060618234,524608.3545611614,0.973200000000003,0.9710720000000039,31.420885726734483,10.0,52.60639552768433,13.646428906851257,0.0,0.03166666666666667,0.0,46.466827274899956,1153.9420274109848,2196.9379370017796,0.0,3.166666666666667,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.0
269,2024-09-25,1153.4096704029987,2256.2815980781056,405599.9157322264,526864.6361592395,0.973100000000003,0.970896000000004,31.73696419044256,10.0,55.15700392215877,15.057420805783108,0.0,0.03166666666666667,0.0,62.510327742992615,1153.4096704029987,2196.9379370017796,0.0,3.166666666666667,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.0
270,2024-09-26,1152.9622362947991,2256.216433362034,406752.8779685212,529120.8525926014,0.973000000000003,0.970720000000004,34.70255593835211,12.330657712105948,58.82586276279403,14.357293364578696,0.0,0.03166666666666667,0.0,62.445163026920994,1152.9622362947991,2196.9379370017796,0.0,3.166666666666667,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.0
271,2024-09-27,1152.5998576707673,1958.8455894504098,407905.477826192,531079.6981820519,0.972900000000003,0.9705357894736882,36.04136620556955,10.0,58.33745682782662,15.351043793369964,0.0,0.035087719298245605,0.0,-71.75568027009976,1152.5998576707673,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
272,2024-09-28,1152.3226419115097,1962.1518542939978,409057.8004681035,533041.8500363459,0.972800000000003,0.9703515789473725,36.29935683903622,10.10600229955094,60.20034698419347,15.786619157398958,0.0,0.035087719298245605,0.0,-68.44941542651156,1152.3226419115097,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
273,2024-09-29,1152.1306711620416,1957.244074789541,410209.93113926554,534999.0941111355,0.972700000000003,0.9701673684210567,35.43391391619256,10.514559655308371,56.89984278420608,14.976526739825873,0.0,0.035087719298245605,0.0,-73.35719493096839,1152.1306711620416,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
274,2024-09-30,1152.024002307435,1957.3779660643543,411361.955141573,536956.4720771998,0.972600000000003,0.9699831578947409,37.58142011157235,12.560186056315178,65.67530491226165,16.092757089243975,0.0,0.035087719298245605,0.0,-73.22330365615508,1152.024002307435,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
275,2024-10-01,1152.0026669559775,1969.3220381570943,412513.95780852897,538925.794115357,0.972500000000003,0.9697989473684251,30.395051330276647,10.0,51.55513034685541,12.096841686754303,0.0,0.035087719298245605,0.0,-61.27923156341515,1152.0026669559775,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
