day,milp_oracle_eur,bc_policy_eur
1,59083.3333,59083.3333
2,31069.6667,31069.6667
3,28073.2000,28073.2000
4,17615.0000,17615.0000
5,25826.5933,29731.6667
6,19475.0000,19475.0000
7,14216.6667,14216.6667
8,26791.6667,26791.6667
9,27974.0000,27974.0000
10,17383.3663,19239.2000
