index,label,power_mw,duration_h,standalone_eur,standalone_arbitrage_eur,standalone_flex_eur,aggregated_eur,aggregated_arbitrage_eur,aggregation_gain_eur,aggregation_gain_pct
0,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,145895.47665833466,86375.7300777002,94144.77,181.92
1,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,145895.47665833466,86375.7300777002,94144.77,181.92
2,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,145895.47665833466,86375.7300777002,94144.77,181.92
3,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,145895.47665833466,86375.7300777002,94144.77,181.92
4,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,145895.47665833466,86375.7300777002,94144.77,181.92
5,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,145895.47665833466,86375.7300777002,94144.77,181.92
6,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,145895.47665833466,86375.7300777002,94144.77,181.92
7,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,145885.55047496292,86365.80389432845,94134.85,181.90
8,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,237641.59812146903,118602.10496020009,6330.40,2.74
9,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,238991.23286839903,119951.7397071301,7680.03,3.32
10,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,238991.23286839903,119951.7397071301,7680.03,3.32
11,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,238991.23286839903,119951.7397071301,7680.03,3.32
12,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,238991.23286839903,119951.7397071301,7680.03,3.32
13,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,238991.23286839903,119951.7397071301,7680.03,3.32
14,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,238991.23286839903,119951.7397071301,7680.03,3.32
15,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,238991.23286839903,119951.7397071301,7680.03,3.32
16,large_1h,2.5,1.0,560932.223518853,260078.93047211468,334195.9161854566,562236.5718111007,264123.4582834997,1304.35,0.23
17,large_1h,2.5,1.0,560932.223518853,260078.93047211468,334195.9161854566,567780.3284307672,269667.21490316617,6848.10,1.22
18,large_1h,2.5,1.0,560932.223518853,260078.93047211468,334195.9161854566,567776.1206661473,269663.0050268589,6843.90,1.22
19,large_1h,2.5,1.0,560932.223518853,260078.93047211468,334195.9161854566,566612.6442136705,268498.76203184476,5680.42,1.01
