Noise_Type,PSO_Profit,PPO_Profit,Difference,Diff_Pct,Winner,Monthly_Retrains
uniform,52112.54029728985,77043.06230107375,24930.522003783895,47.83977495927295,PPO,12
normal,70856.13387231591,78590.3097288317,7734.17585651578,10.915322970419062,PPO,12
ornstein-uhlenbeck,60854.850780713,69432.88091494306,8578.030134230059,14.09588557720814,PPO,12
