day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,114426.0701,121136.1663,82808.5984,122536.5563
2,75047.9400,72825.1100,58432.6331,74718.4727
3,85387.9368,85363.3197,67709.1092,82715.4701
4,44899.1466,44874.5294,38752.0460,44844.6792
5,69987.3901,69962.7730,64809.6400,68892.5981
6,47834.4966,47809.8795,58906.5654,47780.0292
7,30057.9498,30033.3327,18383.8540,30003.4825
8,66963.4902,66938.8730,77655.7041,66634.0228
9,73736.7370,73712.1199,46363.9999,72197.2699
10,44014.7467,43990.1295,53872.2744,43747.7793
11,47470.9467,47446.3295,52462.5201,45519.1475
12,62934.0157,57252.7615,35061.9974,57481.3402
13,68677.0844,68696.4552,39609.8976,70296.5793
14,50285.1565,50270.3684,63783.8630,65586.8787
15,75543.4730,75543.4730,63102.0930,73276.6988
16,32643.4826,32643.4826,39946.0248,30301.7084
17,82418.4730,82418.4730,27601.4398,80151.6989
18,124646.3572,124646.3572,72480.5208,122379.5830
19,103033.5668,103033.5668,52015.5037,100766.7926
20,64564.3763,64564.3763,31920.7616,62297.6022
21,56293.4795,56293.4795,50958.8847,54026.7053
22,132155.5106,132155.5106,84047.5245,128988.7367
23,52278.4764,52278.4764,48891.9870,50011.7022
24,53543.4795,53543.4795,16380.9533,50376.7056
25,59850.8733,59850.8733,32829.6887,57584.0991
26,65918.4764,65918.4764,52711.7007,63651.7023
27,61834.1765,61834.1764,73617.9602,59567.4023
28,93420.1202,93420.1202,85933.5059,91153.3461
29,138793.4579,138793.4579,103948.4408,136526.6837
30,65918.4765,65918.4765,70040.2294,63651.7024
31,67921.5735,67921.5735,53399.3250,65654.7993
32,108543.4673,108543.4673,109898.4416,106276.6931
33,101118.4674,101118.4674,64675.7081,98851.6932
34,39793.4828,39793.4828,29762.6655,37526.7086
35,79668.4736,79668.4736,83338.6794,77401.6994
36,54918.4797,54918.4797,62120.6193,52651.7056
37,78512.9236,78512.9236,58765.7574,76246.1494
38,116582.8145,116582.8145,68741.3163,114316.0403
39,62618.4767,62618.4767,58843.5402,60351.7026
40,152543.4585,152543.4585,86996.7320,150276.6843
41,81043.4737,81043.4737,69674.1841,78776.6996
42,89513.4707,89513.4707,69563.5943,87246.6966
43,58493.4768,58493.4768,64739.9558,56226.7027
44,107168.4678,107168.4678,53035.5602,104901.6936
45,62495.2769,62495.2769,53427.6129,60228.5027
46,46416.5799,46416.5799,45756.8107,44149.8057
47,77083.4739,77083.4739,82433.4430,74816.6997
48,81043.4739,81043.4739,62057.4618,78776.6997
49,83793.4739,83793.4739,94608.4976,81526.6998
50,72518.4739,72518.4739,41843.2773,70251.6998
51,13216.9359,13216.9359,334.6976,10950.1618
52,43723.7800,43723.7800,48273.0110,41457.0058
53,46943.4800,46943.4800,69891.1417,44676.7058
54,47493.4800,47493.4800,34472.9407,45226.7058
55,67843.4770,67843.4770,58514.0646,65576.7028
56,96168.4711,96168.4711,62007.1992,93901.6969
57,84001.3711,84001.3711,81553.7852,81734.5969
58,58516.0271,58516.0270,67948.2862,56249.2529
59,73373.7241,73373.7241,81860.8238,71106.9499
60,43950.9300,43950.9300,44350.0539,41684.1559
61,8168.4889,8168.4889,13508.4808,5901.7148
62,44967.3301,44967.3301,58028.2098,42700.5559
63,85679.9712,85679.9712,69661.9342,83413.1970
64,91035.3183,91035.3183,56129.9789,88693.5441
65,117161.9625,117161.9624,89863.7209,114820.1883
66,73639.3713,73639.3713,66791.5806,69885.0976
67,102320.2184,102320.2184,59047.3078,100053.4442
68,62641.5772,62641.5772,54970.6049,60374.8031
69,51343.4802,51343.4802,55262.6116,49076.7060
70,79549.6714,79549.6714,58141.6331,77282.8973
71,32992.8331,14861.4045,25822.5071,43089.4704
72,52416.9016,51844.0100,27025.1526,49567.6533
73,31509.3972,35626.7129,37698.1553,32372.8565
74,40369.8717,46956.7100,41513.7357,44305.3533
75,96851.6648,112307.1484,66603.9388,106868.2923
76,34897.9505,34251.7129,48817.0776,31975.3563
77,118783.9332,118137.6956,83574.6714,115861.3389
78,81035.7890,80389.5514,41460.5427,76796.1952
79,124822.9333,124176.6956,82587.4722,121875.3390
80,71472.9419,70826.7043,61547.7643,67095.3481
81,18301.1534,17654.9158,20260.8125,15378.5592
82,52196.5448,44466.1600,35607.0674,48986.4506
83,30798.0124,56045.0476,46062.8841,52703.0351
84,77272.1246,76980.7948,75408.3142,73765.7728
85,66341.3469,68771.2052,75351.0254,96420.9810
86,110513.0162,110237.9897,26756.3930,103359.6469
87,88841.3719,88566.3454,78023.0755,82612.2124
88,24668.4861,24393.4596,14361.5216,18439.3267
89,95671.8219,95396.7954,69608.5747,89442.6625
90,84618.4719,84343.4455,82000.8654,78389.3125
91,82583.4748,82308.4483,66563.6931,76354.3154
92,79668.4748,79393.4483,67139.2428,73439.3154
