day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,78643.9835,69282.3471,7554.4470,58564.7076
2,50407.1178,51516.3472,0.0000,30322.1291
3,5500.0000,4500.0000,9831.8023,24479.9988
4,31714.2169,45244.2865,1427.1399,24386.2413
5,15784.4370,8697.4983,0.0000,51750.7369
6,41454.6675,44807.0799,0.0000,53406.5148
7,37777.6727,49002.0441,0.0000,58908.5188
8,63212.1120,72254.9028,0.0000,43292.8147
9,31337.3886,32536.1165,0.0000,69886.0516
10,13763.3623,13825.8623,0.0000,62691.3808
11,27561.3089,29214.3795,0.0000,52247.5979
12,44732.5646,41847.6744,0.0000,51619.8754
13,30333.4845,26495.3304,0.0000,29907.9165
14,55793.3609,48716.8051,0.0000,53399.4836
15,36915.7767,12595.7225,0.0000,42783.6179
16,7012.5000,12285.2343,0.0000,49271.6843
17,16255.1587,16530.1587,0.0000,45006.5271
18,46183.7914,51863.0283,0.0000,45109.4589
19,13728.7424,7000.0000,3131.7498,31205.1100
20,18739.3844,12958.5570,0.0000,33308.6230
21,13832.8278,14520.3278,5276.2965,28909.1538
22,39100.9086,23023.5980,0.0000,52962.7295
23,4812.5000,4812.5000,1268.5946,44006.8896
24,7425.0000,45798.2406,2608.4033,42118.4546
25,31975.9675,29718.6143,2651.4803,38580.5810
26,32004.3461,62535.0968,0.0000,26602.3829
27,57722.4097,57474.6960,0.0000,61015.7313
28,57163.0439,32241.3157,2110.5558,54196.4545
29,29571.8157,31678.2065,1988.5395,41498.8771
30,23021.0057,61540.9468,0.0000,52532.0156
31,97534.8912,92533.7418,0.0000,48842.1352
32,68811.6525,48083.7173,0.0000,47305.7588
33,39230.4460,49641.2834,0.0000,54016.3554
34,53619.8317,48911.0508,-25.2722,49368.6622
35,64821.3085,54025.8674,2559.0726,45674.3499
36,22410.8671,19550.8274,2644.5137,43277.1993
37,21052.1228,39125.8742,3538.7445,56456.6797
38,40501.3665,15865.8731,0.0000,27228.5478
39,22728.3679,27058.1722,1767.5839,62661.1948
40,28836.3028,35456.8315,1251.0033,67901.3917
41,34202.8045,53163.7416,4305.1401,41353.2504
42,30635.8664,20824.3413,7530.0673,28429.3194
43,7012.5000,7287.5000,1693.3153,57107.7947
44,56179.0895,53959.5843,0.0000,50516.0853
45,38909.8314,27066.8098,5656.3305,20999.3827
46,24471.2610,17507.0947,2636.9913,73241.8858
47,21147.5385,22675.5372,0.0000,61875.6188
48,57501.6274,68778.5950,323.1504,52655.7954
49,36356.8046,30368.2144,0.0000,21658.2808
50,22109.1593,45979.9945,4536.2593,49951.6362
51,21087.9383,36494.8331,3342.3486,14005.1918
52,35436.2113,40910.5102,2035.9421,52418.7496
53,35579.9795,33067.8814,3060.3699,56161.1372
54,33071.4243,37392.0295,1409.7640,62903.0859
55,3575.0000,4910.8101,3875.7504,38491.5434
56,14253.7703,23228.2961,9473.0734,41729.6305
57,39147.1249,21304.4155,2189.7608,54409.1012
58,34663.6744,24678.7754,5632.1087,10895.0308
59,22564.7549,13074.4969,3252.0311,57474.9585
60,25598.0970,53809.7514,4789.3452,52020.0967
61,12806.5430,28541.6561,0.0000,45302.6580
62,17682.5360,18011.8639,1725.0727,55943.6020
63,47653.2427,22168.6976,3829.5699,21859.4054
64,13752.8393,22403.9459,5918.8670,27289.4975
65,50792.2957,48191.1749,3530.7378,40416.4788
66,34935.4658,26845.8686,3065.5656,44087.8364
67,32008.2676,32627.7550,1030.8297,36797.7945
68,33710.0661,29025.6057,0.0000,49794.5366
69,25670.8817,41385.9811,0.0000,52503.8340
70,14495.3111,23795.7702,480.3502,22670.3484
71,23812.3086,25025.1176,0.0000,54261.3373
72,20883.7518,20073.2402,4049.9060,30057.8385
73,29366.7077,22914.2004,3564.6549,49651.8410
74,32891.4121,29591.4121,0.0000,27500.7683
75,38716.9441,34035.3809,3938.0561,25851.2121
76,6462.5000,7562.5000,124.2936,22223.5573
77,62682.8797,63120.7783,3561.3083,59537.6760
78,11760.6755,11636.1515,4812.9322,55581.4847
79,13157.9992,13157.9992,345.3463,54492.0927
80,33039.1589,34211.0345,512.4941,42719.3022
81,11029.0280,10616.5280,0.0000,58157.7611
82,26746.5797,21067.0996,0.0000,45419.2364
83,53522.1245,47832.4825,450.9597,28742.2032
84,29771.5925,28162.7068,6726.0278,45547.4667
85,33303.1586,20859.7644,0.0000,19071.0013
86,61050.7026,49644.8847,0.0000,34545.8394
87,25436.4136,13827.9539,0.0000,73693.7267
88,19977.2760,25105.4980,1779.2532,51452.6056
89,41931.5959,45477.3862,1037.9895,26575.5130
90,40672.3777,61503.5004,4593.9059,32758.4283
91,11197.4727,17831.6290,1558.2448,32326.4868
92,25361.1250,20254.3263,1611.3807,47064.0528
93,34374.4222,40298.6347,4137.6379,42621.3527
94,48491.6677,50935.4533,1000.7016,33646.7880
95,6325.0000,22072.0002,5655.0222,43453.5439
96,41350.8095,52878.8291,3681.3149,22774.0593
97,44164.2779,43934.8581,368.1768,35249.0160
98,34715.5698,36442.1844,11434.1879,16307.8192
99,30208.7240,50454.4457,7750.5029,57069.5486
100,64097.0371,51536.3396,5607.3989,45297.7309
101,53751.0344,57993.5818,3501.0833,40460.3826
102,71935.8595,42324.6382,7130.6699,36472.6867
103,29169.4174,49182.2130,4646.4014,58187.9087
104,12171.6305,12343.2214,6549.5581,26278.6813
105,16951.4145,7287.5000,1581.1287,40873.7359
106,55366.1879,58929.8606,990.4061,48796.6426
107,24237.8630,24774.5494,5671.9947,22836.5293
108,36994.3455,42217.0463,0.0000,32383.6927
109,12093.9778,14573.3197,0.0000,39832.6381
110,22193.1034,29660.1583,-27.8923,48816.4167
111,48557.9612,50658.7216,1000.5159,47179.7288
112,18389.8602,11000.0000,981.5637,23745.4089
113,6935.5000,25029.4612,0.0000,43016.3570
114,15679.8234,29666.9940,0.0000,54933.4603
115,23184.3676,30411.3859,0.0000,24617.1014
116,43861.0354,27490.0219,9.1919,36064.1165
117,50358.9354,60191.0913,0.0000,26669.5974
118,29669.0442,18598.3475,0.0000,52259.8318
119,14901.6601,15697.3462,396.4693,25906.3276
120,29267.9714,30716.3383,5714.9473,58400.2658
121,47172.4886,55883.1749,157.6593,31246.3205
122,33854.6890,37237.2339,0.0000,38749.4862
123,4812.5000,6187.5000,2382.1024,47198.8879
124,24148.9340,25021.6875,1013.6304,28614.8509
125,31702.0820,46912.2241,739.5853,35993.0431
126,22535.7434,30907.7700,8561.8930,13964.9825
127,45678.8748,46445.0118,3991.2917,40391.0744
128,19252.0381,3850.0000,0.0000,33457.3316
129,26493.0421,31967.7932,0.0000,55209.0473
130,22905.7660,47295.5441,3.2411,58021.1932
