index,label,power_mw,duration_h,standalone_eur,standalone_arbitrage_eur,standalone_flex_eur,aggregated_eur,aggregated_arbitrage_eur,aggregation_gain_eur,aggregation_gain_pct
0,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,327522.2292073084,257893.9203384813,282931.23,634.50
1,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,327522.2292073084,257893.9203384813,282931.23,634.50
2,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,327522.2292073084,257893.9203384813,282931.23,634.50
3,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,327522.2292073084,257893.9203384813,282931.23,634.50
4,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,327522.2292073084,257893.9203384813,282931.23,634.50
5,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,327522.2292073084,257893.9203384813,282931.23,634.50
6,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,327522.2292073084,257893.9203384813,282931.23,634.50
7,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,327522.2292073084,257893.9203384813,282931.23,634.50
8,medium_2h,1.0,2.0,580237.3683087084,450504.8533794253,142786.44276645512,617054.202860075,477797.5851224209,36816.83,6.35
9,medium_2h,1.0,2.0,580237.3683087084,450504.8533794253,142786.44276645512,617054.202860075,477797.5851224209,36816.83,6.35
10,medium_2h,1.0,2.0,580237.3683087084,450504.8533794253,142786.44276645512,617054.202860075,477797.5851224209,36816.83,6.35
11,medium_2h,1.0,2.0,580237.3683087084,450504.8533794253,142786.44276645512,617054.202860075,477797.5851224209,36816.83,6.35
12,medium_2h,1.0,2.0,580237.3683087084,450504.8533794253,142786.44276645512,617054.202860075,477797.5851224209,36816.83,6.35
13,medium_2h,1.0,2.0,580237.3683087084,450504.8533794253,142786.44276645512,617054.202860075,477797.5851224209,36816.83,6.35
14,medium_2h,1.0,2.0,580237.3683087084,450504.8533794253,142786.44276645512,617054.202860075,477797.5851224209,36816.83,6.35
15,medium_2h,1.0,2.0,580237.3683087084,450504.8533794253,142786.44276645512,617054.202860075,477797.5851224209,36816.83,6.35
16,large_1h,2.5,1.0,1499851.983695992,1152881.2587477653,381189.4749482259,1497598.844919309,1149457.3005751737,-2253.14,-0.15
17,large_1h,2.5,1.0,1499851.983695992,1152881.2587477653,381189.4749482259,1497598.844919309,1149457.3005751737,-2253.14,-0.15
18,large_1h,2.5,1.0,1499851.983695992,1152881.2587477653,381189.4749482259,1497598.844919309,1149457.3005751737,-2253.14,-0.15
19,large_1h,2.5,1.0,1499851.983695992,1152881.2587477653,381189.4749482259,1497598.844919309,1149457.3005751737,-2253.14,-0.15
