day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,10452.6524,12645.2586,9468.0032,12645.2586
2,8288.9044,8288.9044,7009.6381,8288.9044
3,8292.7437,8292.7437,6059.5465,8292.7437
