Noise_Type,PSO_Profit,PPO_Profit,Difference,Diff_Pct,Winner,Monthly_Retrains
uniform,56489.74329807206,75709.90444840833,19220.161150336266,34.024160897527445,PPO,12
normal,75652.60096697975,77990.12915074022,2337.5281837604707,3.089818663049981,PPO,12
ornstein-uhlenbeck,65256.233624314606,65198.67875765262,-57.554866661987035,-0.08819826622746119,PSO,12
