Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PSO_Cumulative_Degradation_Cost,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit,PPO_Cumulative_Degradation_Cost
0,2024-01-01,107.09,118.15244644996994,0.0,0.5,-0.0,0.0,0.0,-1.52,0.1,162.7768,162.7768,3.1666666666666665
1,2024-01-01,104.0,100.57310649280012,-0.30000000143256245,0.42105263120195724,31.200000148986494,31.200000148986494,0.6250000029845051,0.0,0.1,-0.0,162.7768,3.1666666666666665
2,2024-01-01,100.0,94.41176578117482,0.0,0.42105263120195724,-0.0,31.200000148986494,0.6250000029845051,0.0,0.1,-0.0,162.7768,3.1666666666666665
3,2024-01-01,85.66,73.07764780724396,2.0,0.8960526312019572,-171.32,-140.1199998510135,4.791666669651172,1.8000000000000003,0.5275000000000001,-154.18800000000002,8.588799999999992,6.916666666666667
4,2024-01-01,85.0,92.50421868624953,0.016620500202285497,0.9,-1.4127425171942674,-141.53274236820775,4.826292711739267,1.5684210526315787,0.9,-133.3157894736842,-124.7269894736842,10.18421052631579
5,2024-01-01,85.53,82.62507317418545,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
6,2024-01-01,95.07,91.53049128043948,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
7,2024-01-01,104.07,114.62710078971021,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
8,2024-01-01,106.95,122.91455155896189,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
9,2024-01-01,107.08,104.68787192031448,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
10,2024-01-01,104.0,91.84423601147586,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
11,2024-01-01,98.13,108.22485064070302,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
12,2024-01-01,101.55,89.92952654726689,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
13,2024-01-01,98.16,107.66749248979478,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
14,2024-01-01,98.17,108.65240101439491,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
15,2024-01-01,105.54,106.06727437380106,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
16,2024-01-01,110.0,105.40808330675846,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
17,2024-01-01,120.04,115.47710584027597,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
18,2024-01-01,131.5,112.94507584253535,0.0,0.9,-0.0,-141.53274236820775,4.826292711739267,0.0,0.9,-0.0,-124.7269894736842,10.18421052631579
19,2024-01-01,132.0,147.59513772600297,-2.0,0.37368421052631584,264.0,122.46725763179225,8.992959378405935,-2.0,0.37368421052631584,264.0,139.2730105263158,14.350877192982455
20,2024-01-01,127.75,144.4411898254688,-1.0400000000000003,0.1,132.86000000000004,255.3272576317923,11.159626045072603,-1.0400000000000003,0.1,132.86000000000004,272.13301052631584,16.517543859649123
21,2024-01-01,113.48,113.31789364912908,0.0,0.1,-0.0,255.3272576317923,11.159626045072603,0.0,0.1,-0.0,272.13301052631584,16.517543859649123
22,2024-01-01,109.18,110.05934930662293,0.0,0.1,-0.0,255.3272576317923,11.159626045072603,0.0,0.1,-0.0,272.13301052631584,16.517543859649123
23,2024-01-01,107.2,95.4583048173294,0.0,0.1,-0.0,255.3272576317923,11.159626045072603,0.0,0.1,-0.0,272.13301052631584,16.517543859649123
24,2024-01-02,105.49,120.04116730467348,0.0,0.1,-0.0,255.3272576317923,11.159626045072603,0.0,0.1,-0.0,272.13301052631584,16.517543859649123
25,2024-01-02,90.09,81.3532466973386,2.0,0.575,-180.18,75.14725763179229,15.32629271173927,1.8000000000000003,0.5275000000000001,-162.16200000000003,109.97101052631581,20.267543859649123
