day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,5160.1891,4248.5866,1326.1530,2377.5929
2,4003.3597,4859.9293,1309.8704,2230.2646
3,2001.4122,1475.0026,979.4830,3581.7790
