day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,78643.9835,69075.3094,29314.5706,37888.2024
2,50407.1178,51893.9587,13704.6566,46460.2313
3,5500.0000,4950.0000,22413.8488,48335.0182
4,31714.2169,17086.9135,19288.0452,16213.6161
5,15784.4370,7150.0000,12807.1276,35325.5107
6,41454.6675,46480.4881,9812.0461,49107.6082
7,37777.6727,34435.3799,12887.5117,24835.9942
8,63212.1120,34761.0046,12077.9710,48457.7792
9,31337.3886,33703.4696,14006.4965,46996.6785
10,13763.3623,14588.3623,11738.4705,53051.6083
11,27561.3089,28734.6648,12820.1943,51038.0961
12,44732.5646,60304.1384,15263.3425,31720.8174
13,30333.4845,27256.1659,18987.0550,46227.9615
14,55793.3609,55888.8099,7833.1152,21978.7526
15,36915.7767,11633.2225,20823.8798,49629.0226
16,7012.5000,12372.7343,10326.5234,38380.2737
17,16255.1587,16352.8859,22557.9647,33121.1254
18,46183.7914,41008.6976,18915.6017,28852.2099
19,13728.7424,5887.5000,12918.0766,42827.1103
20,18739.3844,20284.6272,20093.2334,33036.9487
21,13832.8278,14032.8278,12220.6674,64238.6967
22,39100.9086,23048.8430,7994.3762,62523.7522
23,4812.5000,5375.0000,19272.8338,49873.5954
24,7425.0000,45306.0896,22253.8862,42836.6894
25,31975.9675,39265.2688,9910.2323,20329.5156
26,32004.3461,45719.4910,13185.0785,24424.8055
27,57722.4097,54478.6463,14291.3689,32668.5930
28,57163.0439,56440.8511,27502.4994,59806.7765
29,29571.8157,31863.9424,13822.1656,51407.7157
30,23021.0057,65188.0188,23295.4106,30101.1681
31,97534.8912,92797.0045,12375.6627,50042.9178
32,68811.6525,50775.6091,9428.7497,44899.3110
33,39230.4460,49600.6248,20616.8634,54006.0058
34,53619.8317,55120.4491,12650.7030,30018.1097
35,64821.3085,45894.8501,18091.5578,40296.5357
36,22410.8671,22909.7126,11620.1748,35499.6594
37,21052.1228,37331.4025,24343.9059,48902.4364
38,40501.3665,16091.2244,19664.2978,11043.9872
39,22728.3679,29593.3737,8353.9623,48286.4867
40,28836.3028,35814.4959,10467.1144,41097.7476
41,34202.8045,16554.3576,16686.3432,28337.6586
42,30635.8664,23543.8102,14686.1707,47642.6748
43,7012.5000,7687.5000,7819.5569,34445.9597
44,56179.0895,54777.8513,9845.6583,42474.7132
45,0.0000,28513.5472,13219.0216,31034.8319
46,24472.0869,15370.9260,12436.9647,31732.6603
47,21147.5385,37770.1218,21633.7427,21066.8159
48,57501.6274,58255.2692,14760.5140,45316.9990
49,36356.8046,20341.2727,7409.8496,53486.7506
50,22109.1593,78742.3851,10086.7051,48522.2470
51,21087.9383,31156.1919,7894.2297,35669.5447
52,35436.2113,30407.6640,16746.8777,38106.3627
53,35579.9795,30428.5181,6345.0149,31357.8861
54,33071.4243,43855.4884,19869.1851,28218.6775
55,3575.0000,2887.5000,9123.1426,50673.7208
56,14253.7703,43711.4020,4692.0288,36060.5370
57,39147.1249,26458.0147,12402.2293,17045.0804
58,34663.6744,16575.3562,16870.1762,19367.2541
59,22564.7549,28305.4475,16347.9238,44903.8013
60,25598.0970,47660.1674,13985.0990,42706.4066
61,12806.5430,14826.2058,9577.2469,36032.2089
62,17682.5360,17389.7647,9666.7951,40200.4525
63,47653.2427,29221.3512,11056.1614,27228.4763
64,13752.8393,22217.1227,14659.3118,46318.6357
65,50792.2957,48178.6749,13687.3357,36027.0951
66,34935.4658,26605.9948,10008.0117,34757.5967
67,32008.2676,31864.1508,18945.2475,43893.2733
68,33710.0661,34798.9804,6881.6117,28958.9537
69,25670.8817,26272.4442,12822.5711,36402.6979
70,14495.3111,19176.0326,5646.8667,29237.1389
71,23812.3086,24325.1186,9596.2923,55544.7490
72,20883.7518,21983.7518,9255.3072,47129.3044
73,29366.7077,20343.2114,18649.3324,47488.0160
74,32891.4121,31166.4121,9854.7340,41096.6908
75,38716.9441,31776.2659,21339.5171,45743.6540
76,6462.5000,7659.0909,9986.4890,33830.7532
77,62682.8797,61798.1046,10698.8230,34645.9521
78,11760.6755,12131.7605,6868.3036,38859.0699
79,13157.9992,13157.9992,9307.9875,22334.6096
80,33039.1589,32714.0514,16294.7172,43166.8903
81,11029.0280,10523.3462,21323.0321,51724.9422
82,26746.5797,21016.8820,12099.9375,52165.6928
83,53522.1245,32916.1704,21277.2020,44521.9898
84,29771.5925,30328.9258,23384.1843,16521.6821
85,33303.1586,23234.0539,17561.9552,49525.7973
86,61050.7026,52482.2867,7210.2441,50906.1519
87,25436.4136,13688.3352,12337.2861,51472.5054
88,19977.2760,26835.7279,10492.9760,24637.2770
89,41931.5959,47624.8650,11120.3070,14854.7419
90,40672.3777,31732.1807,17270.3440,20392.9162
91,11197.4727,18054.9743,10080.2386,31572.8035
92,0.0000,12417.1481,12706.5453,12300.4813
93,34375.0941,49367.9131,21091.4699,38753.0076
94,48491.6677,49869.8295,25251.9680,40717.8496
95,6325.0000,7693.8031,20720.5318,34796.2150
96,41350.8095,23240.3676,7744.1473,31183.1175
97,44164.2779,34041.1259,11706.2294,44553.0764
98,0.0000,32352.2410,9670.3475,22236.5870
99,30209.4365,53699.7036,26336.0686,16360.5913
100,64097.0371,34811.9282,12592.5434,33596.0679
101,53751.0344,28157.6192,10597.7580,41632.3242
102,71935.8595,38284.7873,27373.0141,18652.0181
103,29169.4174,33911.9144,10555.9122,24493.2556
104,12171.6305,12721.6305,28172.1868,48664.6919
105,16951.4145,32135.7663,24704.8067,30917.1012
106,55366.1879,38815.2505,22294.3575,46615.8888
107,24237.8630,25911.7286,11250.9335,45027.6295
108,36994.3455,33245.0224,20960.8789,23892.3056
109,12093.9778,12950.5956,11368.9907,34818.2825
110,22193.1034,27845.8881,9897.1040,55383.2361
111,48557.9612,47596.3573,5391.7368,41767.1516
112,17936.1596,14592.4418,8306.3161,29207.7692
113,6935.5000,6025.0000,11420.8425,43341.0375
114,15679.8234,29537.8273,10300.5237,42980.7788
115,23184.3676,27008.0264,17967.9869,32756.4298
116,43861.0354,34241.4442,21836.4515,48139.3450
117,50358.9354,34822.5325,14759.4035,48863.0771
118,29669.0442,18068.1902,14500.4864,43488.8944
119,14901.6601,13712.9912,20646.7023,16165.9064
120,29267.9714,35223.1199,15332.3862,43344.6971
121,47172.4886,53347.3414,5435.5550,35003.3802
122,33854.6890,34260.0324,14411.5625,45984.2446
123,4812.5000,7287.5000,25810.1615,35886.4765
124,24148.9340,19330.8669,12216.1435,46287.1663
125,31702.0820,32756.9574,15446.7971,50271.5228
126,22535.7434,30684.5717,10503.0478,43844.8292
127,45678.8748,45678.8748,21143.5216,33631.9593
128,19252.0381,3712.5000,10256.2309,24187.7911
129,26493.0421,52468.1844,15551.8067,41615.4816
130,22905.7660,33209.9658,16060.9363,46804.3130
131,16761.0358,46140.4163,16064.2993,29118.4862
132,25827.3666,18359.7540,15301.4254,34161.2894
133,50236.5346,56564.8940,17851.3578,35526.9825
134,32685.7376,43212.6274,16378.7206,55180.7070
135,16382.5879,5775.0000,12586.8920,47814.2792
136,35008.1177,33956.1763,6248.9642,60988.4597
137,19518.8106,28082.3164,10291.5797,39495.4382
138,42561.0097,42859.7973,20282.2123,41170.3331
139,23484.6143,8046.2876,11729.1384,45444.9566
140,50081.6481,43611.5198,11016.9630,58481.4062
141,57446.5567,53085.4671,11835.4771,29737.8851
142,35959.4526,41569.2785,28068.5865,49574.6987
143,32545.9831,49674.6033,21007.0859,32133.7133
144,14982.7073,28732.0522,12941.7750,24031.9846
145,22720.0272,24641.0652,12939.8057,55650.7466
146,43438.9204,40910.8139,15263.8919,42200.8964
147,10118.7626,26080.8932,19473.5901,35928.6314
148,24624.5462,17620.7204,16621.3680,23497.2210
149,41896.6107,41896.6107,19681.1614,46610.5834
150,41006.0549,40711.5579,18723.6027,47155.7344
151,35394.9190,35257.4927,21385.0837,44132.4608
152,26420.0020,28020.6531,12088.6673,33867.1432
153,41871.4511,34281.4492,16960.7673,10074.4259
154,25852.8285,52235.2168,10772.8650,24231.4522
155,33246.3066,45740.3958,10048.6310,29251.2838
156,4986.7687,4299.2687,6554.6454,18778.2263
157,45070.6041,43352.4753,15437.3651,53773.7083
158,30577.2060,24567.5224,17195.1653,44004.8105
159,28245.6223,28558.1223,14053.6084,49621.3056
160,27647.6279,13444.2034,17856.8863,34588.1560
161,40205.2892,42204.5376,9293.0427,36899.1926
162,50715.1998,21447.5581,12191.4653,12293.0622
163,31617.1633,39745.1065,10523.7462,42705.5942
