error_distribution,day,avg_price,price_volatility,milp_net_profit,ppo_net_profit,milp_arbitrage,ppo_arbitrage,milp_flexibility,ppo_flexibility,milp_degradation,ppo_degradation,milp_fcr_revenue,milp_afrr_revenue,milp_mfrr_revenue,ppo_fcr_revenue,ppo_afrr_revenue,ppo_mfrr_revenue,milp_exec_time,ppo_exec_time,milp_utilization,ppo_utilization,milp_cumulative,ppo_cumulative,milp_throughput_cum,ppo_throughput_cum,ppo_arbitrage_throughput,ppo_activation_throughput,ppo_total_throughput
ornstein-uhlenbeck,1,105.71458333333334,12.461424804560762,4446.1488,1922.1411015729,177.24,141.28450549450548,4368.9088,1791.9457045752458,100.0,11.089108496851502,0.0,4368.9088,0.0,410.2173446014808,1381.7283599737652,0.0,0.4499671459197998,0.06117391586303711,0.5,0.028617216117216116,4446.1488,1922.1411015729,48.0,5.322772078488721,1.3736263736263736,3.9491457048623473,5.322772078488721
ornstein-uhlenbeck,2,107.2975,13.202076304506049,4028.617040000001,1828.6993116953718,188.64600000000002,152.5934161490683,3939.971040000001,1687.3175624113944,100.0,11.211666865091075,0.0,3939.971040000001,0.0,302.7773446014808,1384.5402178099137,0.0,0.15805721282958984,0.025785207748413086,0.5,0.02924430641821946,8474.76584,3750.8404132682717,96.0,10.704372173732438,1.4037267080745341,3.9778733871691823,5.381600095243717
ornstein-uhlenbeck,3,94.00600875000002,21.950640093234814,4019.392750000001,1642.8562733506317,170.94443,147.01451824175822,3948.448320000001,1505.5571703285013,100.0,9.715415219627783,0.0,3948.448320000001,0.0,261.8973446014808,1243.6598257270207,0.0,0.17528438568115234,0.028704404830932617,0.5,0.03021978021978022,12494.158590000001,5393.696686618903,144.0,15.367771479153772,1.4505494505494505,3.2128498548718842,4.6633993054213345
ornstein-uhlenbeck,4,91.17174250000001,23.70879803805018,4433.844000000001,1423.9854582495493,171.7768,22.827692307692303,4362.067200000001,1408.2084980277612,100.0,7.050732085904191,0.0,4362.067200000001,0.0,122.66867230074041,1285.5398257270206,0.0,0.15973782539367676,0.029108524322509766,0.5,0.006410256410256409,16928.002590000004,6817.682144868452,192.0,18.752122880387784,0.30769230769230765,3.076659093541704,3.3843514012340115
ornstein-uhlenbeck,5,104.05439041666666,14.491650374708156,4443.486089999999,1652.2711423616208,171.67329,156.42938725274723,4371.8128,1505.5571703285013,100.0,9.715415219627783,0.0,4371.8128,0.0,261.8973446014808,1243.6598257270207,0.0,0.14403891563415527,0.022008895874023438,0.5,0.03021978021978022,21371.488680000002,8469.953287230073,240.0,23.415522185809117,1.4505494505494505,3.2128498548718842,4.6633993054213345
ornstein-uhlenbeck,6,100.73541666666667,7.889122775044272,4409.7699999999995,1922.3475676621083,155.13,147.95362637362635,4354.639999999999,1787.219451145384,100.0,12.825509856902137,0.0,4354.639999999999,0.0,339.3373446014808,1431.204288362085,16.677818181818186,0.1451263427734375,0.04799389839172363,0.5,0.03166666666666667,25781.258680000003,10392.300854892183,288.0,29.57176691712214,1.52,4.636244731313026,6.156244731313025
ornstein-uhlenbeck,7,97.11214083333334,8.31807857097114,4406.599200000001,1856.8787973875683,145.356,130.80714285714285,4361.243200000001,1736.8770322745056,100.0,10.805377744080296,0.0,4361.243200000001,0.0,355.14867230074043,1381.7283599737652,0.0,0.12707066535949707,0.04238724708557129,0.5,0.028617216117216116,30187.857880000003,12249.17965227975,336.0,34.75834823428068,1.3736263736263736,3.812954943532167,5.186581317158541
ornstein-uhlenbeck,8,108.11229208333333,13.901934222454734,4452.51689,1739.094320549893,181.90569,170.96472967032966,4370.6112,1578.8689385324417,100.0,10.739347652878507,0.0,4370.6112,0.0,279.20000000000005,1282.9911203506233,16.677818181818186,0.1284945011138916,0.025917530059814453,0.5,0.03166666666666667,34640.37477,13988.273972829644,384.0,39.913235107662366,1.52,3.6348868733816833,5.154886873381683
ornstein-uhlenbeck,9,108.68318208333335,16.557528236516507,4035.5701400000007,1734.9844001748013,194.55077999999997,166.85480929523808,3941.019360000001,1578.8689385324417,100.0,10.739347652878507,0.0,3941.019360000001,0.0,279.20000000000005,1282.9911203506233,16.677818181818186,0.09959292411804199,0.03963017463684082,0.5,0.03166666666666667,38675.944910000006,15723.258373004444,432.0,45.06812198104405,1.52,3.6348868733816833,5.154886873381683
ornstein-uhlenbeck,10,113.25864083333333,15.951957108119185,4060.9426024000004,1827.7173621155544,213.0184424,157.1914375204969,3947.9241600000005,1682.9211155148707,100.0,12.395190919813327,0.0,3947.9241600000005,0.0,303.16,1300.6129202049594,79.14819530991143,0.154435396194458,0.030034780502319336,0.5,0.03166666666666667,42736.887512400004,17550.97573512,480.0,51.01781362255445,1.52,4.429691641510397,5.949691641510396
