day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,33286.2423,18101.5368,10955.4023,4564.2163
2,22389.8589,26095.8714,10927.7706,11880.4721
3,28374.3493,22054.3200,16423.1990,8550.2640
4,31765.6281,33003.4792,14429.8184,4278.8309
5,27676.2962,24194.7442,15057.1485,12571.9218
6,50057.0784,44069.5580,11082.8940,5069.6526
7,49165.9335,27692.3619,5859.2897,8487.4131
8,38765.7321,32651.6446,9945.6316,13097.8826
9,44714.1712,45532.0329,7711.7549,6914.5958
10,53088.1289,55993.0724,9256.5019,7222.8102
11,32422.3328,40427.4880,11390.3318,6990.9767
12,40153.1569,35783.0732,11002.3084,5672.4202
13,38506.5589,35641.7915,10546.4117,12000.0730
14,29176.4445,33348.2961,6079.6226,6205.1097
15,24000.7811,12396.8958,10452.3416,16303.0224
16,36511.8396,32729.3285,11993.2250,8212.9560
17,30696.3882,29649.4818,14279.8440,15023.3291
18,36705.1200,35570.5502,10486.8426,13205.5498
19,31214.0023,39125.0034,11709.4282,4868.3106
20,28753.1808,26845.9586,12660.7400,16421.2149
21,25503.5162,24796.4336,18456.9527,16454.5922
22,21182.0936,22447.3941,7964.7181,15982.7729
23,30181.7505,28641.6238,10260.2435,15135.9516
24,23151.5148,21555.3327,8599.8512,6934.0967
25,22777.7488,19794.3165,10043.4431,14725.1065
26,38588.7526,33750.7439,8583.7900,11390.0775
27,37732.7624,37482.0871,9327.1446,15483.0290
28,39363.0325,35863.8203,13743.2205,6796.0087
29,21673.5698,16645.2806,7747.5161,11378.2548
30,32597.5490,30190.8628,15585.0323,9712.1936
31,36336.9284,37079.1202,8478.4481,8507.1887
32,33723.2629,41942.9892,8264.9201,9265.2670
33,41001.6227,34301.6551,10757.6644,14213.4716
34,29015.3840,39200.3186,9978.0485,19298.0807
35,19813.7274,33783.9067,14527.5089,26963.6156
36,26101.7545,31189.1216,8480.9017,5856.7623
37,30460.9862,46512.0404,9999.1561,10414.0375
38,35615.0333,31022.5917,12987.4677,3486.0204
39,37662.8961,36585.3364,7906.8060,19060.2327
40,32014.9677,34851.8857,9442.9478,13364.4864
41,33577.1983,45084.4986,14714.6532,16682.7147
42,30365.3411,34497.1878,13670.5867,13914.4494
43,53614.0660,56034.5907,9633.7639,10492.8372
44,42129.1461,33464.4669,8214.6066,15653.4579
45,26756.6335,25800.9367,11662.2398,15364.5808
46,43968.5406,39137.0549,10783.5135,22808.4380
47,38473.2021,44836.9405,8593.7307,14107.6816
48,38885.6013,36921.1602,12029.7006,20035.2617
49,29199.7388,24594.7437,14441.4148,17028.6858
50,30512.7343,35169.1400,10165.1480,13895.9557
51,43628.7605,40279.6536,10638.9676,14891.2335
52,44841.6093,41419.3175,9191.3904,15885.5028
53,49652.4510,46167.7246,7989.5847,12252.8817
54,48919.1751,42404.4080,12859.2475,19050.6299
55,27259.1449,33906.2001,10091.3249,28506.6288
56,28333.7795,35684.3032,12605.6784,13262.1025
57,32713.2825,23811.7328,6289.7419,9549.1796
58,49957.5203,39761.9955,7321.3472,14161.5537
