day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,32993.7082,23411.6428,6110.9823,11142.7439
2,25376.0081,27407.5702,11094.6783,11432.4441
3,28582.0210,22925.5947,7106.1873,11061.8772
4,32138.6302,33646.4934,10624.1593,8293.8082
5,27171.3726,29425.5940,9153.4355,13799.7194
6,49348.2775,40713.0353,14099.2658,7929.0795
7,48765.9949,40733.5811,11207.2824,9305.1669
8,37909.2711,36641.9167,5552.1563,8557.0169
9,43940.2532,42839.5184,6300.3195,18113.6793
10,52092.1674,63609.4607,9584.6071,10631.8359
11,32651.3148,34638.3889,3214.6697,10756.7407
12,39631.8671,43397.4715,9203.8576,9473.5123
13,37917.2875,51075.1832,9650.5675,13795.2308
14,29883.5808,27601.3768,4647.3065,9005.5152
15,23418.6548,21092.3907,12454.0749,12682.1180
16,37272.7890,35349.0407,12991.9446,15260.8292
17,30264.9494,28029.7795,12633.0823,13735.7805
18,35939.8840,39646.5892,12432.8988,9710.0520
19,31029.3900,33355.3982,12527.0310,11220.1453
20,27963.0235,28382.3532,13358.5724,15691.8605
21,25309.9283,34199.0735,8863.2943,8646.9100
22,21613.1664,17891.7895,10730.0642,12836.6835
23,29646.6917,34365.9661,12028.5168,10350.7255
24,22243.2254,21983.7589,6046.4755,7988.5813
25,22083.4798,19089.9822,10126.3801,10136.0204
26,42415.9972,38471.7669,8141.8561,13006.5008
27,41056.7250,36695.9363,14298.5663,9651.1212
28,37113.1048,42458.1537,7088.3194,10274.0384
29,21719.7867,20664.3635,10837.5319,11805.3690
30,33149.7324,25968.6512,9494.3657,12506.0991
31,32523.2146,51227.1423,8195.6676,11502.9089
32,33281.5412,40741.5386,5982.3872,13065.9265
33,44948.7280,42509.3595,10612.2382,11174.2740
34,28630.6591,45591.3579,6669.3016,12128.1823
35,21228.2037,31595.2595,5763.8569,8703.8080
36,23010.0401,26724.1245,9401.6164,7864.6415
37,31231.2697,28815.7317,6163.2331,9829.9455
38,35354.4895,28185.7249,5385.7510,11259.5237
39,37768.7520,37896.2916,8196.8143,11179.5320
40,34163.7035,36425.5571,10808.8913,11474.3599
41,38669.0680,35486.7343,9239.5819,9250.8524
42,37116.8208,34673.9683,7657.7910,8378.8115
43,52909.9600,63893.4489,10649.0523,13107.0213
44,41899.4209,23548.4859,7817.4158,15265.7518
45,24887.7961,34760.4638,9177.5494,13631.4775
46,44426.1558,43284.8998,8922.0320,10964.4935
47,38128.8049,37169.2134,7644.0720,14053.1995
48,38556.7355,40706.9344,11865.2643,12740.7458
49,28932.4403,27398.2626,5685.9231,13094.2097
50,29239.7770,39778.6340,15949.2645,11102.4561
51,44048.7402,30111.8080,5335.8226,11114.6845
52,44057.0212,54927.7818,10072.6493,14028.0298
53,36445.1665,36480.6460,6574.2153,11555.5643
54,34944.2654,34110.5919,10255.4083,7222.6273
55,30904.9242,51995.3140,8936.6118,8586.7276
56,28931.8330,37363.8709,16571.0007,7918.9595
57,33719.0162,35596.8862,14594.4671,7484.1231
58,51009.2005,31230.7470,11722.2942,11506.2424
59,42042.1190,38752.5339,15365.9731,9952.7158
60,19511.9874,32062.0801,7984.9244,10300.9056
61,35071.3455,34488.0933,10867.5760,11341.7465
62,28124.5210,35157.1233,7220.0925,11378.9402
63,32958.9948,25102.7685,7647.2572,11715.3884
64,56620.6278,45509.3293,7516.3130,10197.9983
65,36733.3351,29474.2368,9104.0326,11822.7996
66,31763.0898,38319.9496,12161.6069,13700.8633
67,32839.2355,34010.3582,9501.4656,14330.4513
68,28326.1544,19693.3322,5426.6405,10085.7548
69,37304.5480,26017.5659,6127.6836,8139.3958
70,31364.5625,36492.1572,7771.6959,9307.7583
71,46496.1641,45227.0852,9238.9856,12334.0506
72,39576.0700,35228.8194,12137.9062,15154.9514
73,46322.7174,41423.0560,8373.6379,9684.8701
74,21310.3102,27172.5797,6534.5026,11084.6344
75,41311.0180,55336.5960,3825.6864,10785.2309
76,49902.9888,45665.3945,13880.7117,7851.3009
77,39241.3612,34288.0193,4977.5228,10702.0576
78,40551.2519,40483.8386,9811.6672,11462.8806
79,17134.9023,17749.4833,9017.5203,9527.4129
80,35550.5475,34801.9279,7499.9478,12130.5230
81,34383.7661,31061.0346,3315.9409,12075.0906
82,36808.2562,29067.5197,11014.9791,11252.0639
83,27732.1065,31712.6644,10862.4404,11379.4179
84,34667.7014,47118.1853,9260.6667,13169.7796
85,37425.6598,35850.8801,12357.4448,11551.9569
86,0.0000,33473.4470,10150.1246,8129.9129
87,28418.1772,26071.4504,5506.7463,11704.4027
88,40955.3099,32142.4188,9423.3137,12844.2481
89,36106.6314,35190.9902,10841.4122,7037.0857
90,32309.4889,27715.7079,17428.9019,12975.4305
91,37768.5131,41576.5683,9144.5163,13432.5908
92,53319.6415,38819.5366,12370.1105,9577.5086
93,37400.6150,18767.2296,5721.2224,11277.1100
94,34480.4232,40001.8605,3886.0085,13652.8781
95,22156.6301,34824.6565,9571.2556,11301.3850
96,37645.0006,44221.6080,10676.1205,12513.6058
97,37322.4204,39970.0787,12968.9471,7056.9804
98,38542.0154,28957.3294,3409.7897,8550.5118
99,40792.6815,40149.6748,6375.2126,11005.7443
100,35531.2728,43620.7918,7328.6563,9584.3552
101,39328.6124,31534.4497,12124.4819,16096.6223
102,17016.7441,23811.8398,9868.8494,10926.3029
103,30350.1741,37232.1355,8907.1465,12920.4283
104,31862.3038,26588.9656,8332.7142,9680.1612
105,30387.8355,25876.2764,9166.7562,14245.7266
106,15696.5885,30308.8338,11121.9002,9321.5015
107,32617.1475,35471.1559,10610.6739,12135.1326
108,43655.3701,45551.4414,7628.2359,12144.1173
109,34756.9574,38603.4370,9718.8957,10328.4957
110,33533.7280,39621.4012,8948.5092,11063.3265
111,40121.3805,41586.8925,7708.6365,8544.0450
112,42133.8464,45951.1298,4356.7560,14550.8429
113,31147.4805,29189.8689,9485.1023,9449.1206
114,23122.3359,17515.8265,7993.8224,14069.0520
115,38547.5773,37640.3660,8998.6813,9222.3730
116,19171.1860,26616.5879,7463.0941,13927.4706
117,17046.5616,23047.4082,13930.6518,13568.8316
118,40814.1969,62886.4018,6698.9006,10731.5676
119,33193.0843,37196.5829,9963.1858,10405.3270
120,42522.1796,42779.7709,15817.8351,10278.5464
121,37231.1364,38634.0301,6149.8142,10604.3085
122,40881.7557,31458.2580,12665.0210,10475.0668
123,26343.1408,39486.2466,14284.6654,14219.0778
124,43058.2497,37559.3778,4418.4361,11773.1398
125,27118.4453,26229.7179,7848.4274,7513.7845
126,47800.2141,51805.3913,7356.6480,10876.4861
127,31557.9387,31869.4022,7854.0049,11068.3648
128,12952.0966,19938.1079,8057.0011,14216.6580
