index,label,power_mw,duration_h,standalone_eur,standalone_arbitrage_eur,standalone_flex_eur,aggregated_eur,aggregated_arbitrage_eur,reserved_band_mwh,band_share,power_share,aggregated_by_power_eur,aggregated_by_band_eur,aggregated_floor_eur,aggregation_gain_eur,aggregation_gain_pct
0,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,126135.25789452196,10848.265040881553,4231.735379060835,0.023049969110873706,0.022727272727272728,124429.50335555228,126135.25789452196,60928.77305805287,81544.25,182.87
1,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,123409.45181392462,9023.08914032722,4210.524766213972,0.022934436373793297,0.022727272727272728,122314.39668371616,123409.45181392462,60846.88369980769,78818.45,176.76
2,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,123409.45181392462,9023.08914032722,4210.524766213972,0.022934436373793297,0.022727272727272728,122314.39668371616,123409.45181392462,60846.88369980769,78818.45,176.76
3,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,123409.45181392462,9023.08914032722,4210.524766213972,0.022934436373793297,0.022727272727272728,122314.39668371616,123409.45181392462,60846.88369980769,78818.45,176.76
4,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,123409.45181392462,9023.089140327222,4210.524766213972,0.022934436373793297,0.022727272727272728,122314.39668371616,123409.45181392462,60846.88369980769,78818.45,176.76
5,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,123409.45181392462,9023.08914032722,4210.524766213972,0.022934436373793297,0.022727272727272728,122314.39668371616,123409.45181392462,60846.88369980769,78818.45,176.76
6,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,123409.45181392462,9023.089140327218,4210.524766213972,0.022934436373793297,0.022727272727272728,122314.39668371616,123409.45181392462,60846.88369980769,78818.45,176.76
7,small_4h,0.5,4.0,44591.00399137497,46651.970788249964,0.0,123409.45181392462,9023.089140327222,4210.524766213972,0.022934436373793297,0.022727272727272728,122314.39668371616,123409.45181392462,60846.88369980769,78818.45,176.76
8,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,234720.5352503996,4575.500544316648,8420.13714304606,0.04586390302590372,0.045454545454545456,232556.69465319795,234720.5352503996,274811.0059785828,-7582.23,-3.13
9,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,234720.53525039967,4575.500544316703,8420.13714304606,0.04586390302590372,0.045454545454545456,232556.694653198,234720.53525039967,274811.0059785828,-7582.23,-3.13
10,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,234720.5352503996,4575.500544316648,8420.13714304606,0.04586390302590372,0.045454545454545456,232556.69465319795,234720.5352503996,274811.0059785828,-7582.23,-3.13
11,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,234720.53525039967,4575.500544316704,8420.13714304606,0.04586390302590372,0.045454545454545456,232556.694653198,234720.53525039967,274811.0059785828,-7582.23,-3.13
12,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,236144.43185358308,6115.70626058034,8421.046490487468,0.0458688561783478,0.045454545454545456,233954.40917721024,236144.43185358308,274814.51676249725,-6158.34,-2.54
13,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,234720.53525039967,4575.500544316702,8420.13714304606,0.04586390302590372,0.045454545454545456,232556.694653198,234720.53525039967,274811.0059785828,-7582.23,-3.13
14,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,236298.25742875686,6115.70626058034,8421.046490487468,0.0458688561783478,0.045454545454545456,234108.23475238399,236298.25742875686,274814.51676249725,-6004.51,-2.48
15,medium_2h,1.0,2.0,242302.769089873,17490.245075724106,236077.31053594197,234720.53525039967,4575.500544316704,8420.13714304606,0.04586390302590372,0.045454545454545456,232556.694653198,234720.53525039967,274811.0059785828,-7582.23,-3.13
16,large_1h,2.5,1.0,554934.4578946009,60492.13552743071,526378.776444983,571978.0703786084,16255.420503577216,20449.66795270849,0.11138792301851498,0.11363636363636363,583863.1982709665,571978.0703786084,633885.9807508679,17043.61,3.07
17,large_1h,2.5,1.0,554934.4578946009,60492.13552743071,526378.776444983,638015.3855032852,60388.83832870512,21178.108280912576,0.11535568696408223,0.11363636363636363,628927.1411991939,638015.3855032852,636698.3233940166,83080.93,14.97
18,large_1h,2.5,1.0,554934.4578946009,60492.13552743071,526378.776444983,571460.3283764285,15934.25203962862,20446.7538027346,0.11137204984572281,0.11363636363636363,583429.3609479651,571460.3283764285,633874.7298797632,16525.87,2.98
19,large_1h,2.5,1.0,554934.4578946009,60492.13552743071,526378.776444983,571464.7830803134,15937.021447956653,20446.778786789157,0.11137218593213517,0.11363636363636363,583433.0963068949,571464.7830803134,633874.8263375228,16530.33,2.98
