index,label,power_mw,duration_h,standalone_eur,standalone_arbitrage_eur,standalone_flex_eur,aggregated_eur,aggregated_arbitrage_eur,reserved_band_mwh,band_share,power_share,aggregated_by_power_eur,aggregated_by_band_eur,aggregated_floor_eur,aggregation_gain_eur,aggregation_gain_pct
0,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,144194.53854943914,86375.7300777002,3823.2841223816795,0.022144758449320096,0.022727272727272728,145895.47665833466,144194.53854943914,70217.56504292577,92443.83,178.63
1,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,144194.53854943914,86375.7300777002,3823.2841223816795,0.022144758449320096,0.022727272727272728,145895.47665833466,144194.53854943914,70217.56504292577,92443.83,178.63
2,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,144194.53854943914,86375.7300777002,3823.2841223816795,0.022144758449320096,0.022727272727272728,145895.47665833466,144194.53854943914,70217.56504292577,92443.83,178.63
3,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,144194.53854943914,86375.7300777002,3823.2841223816795,0.022144758449320096,0.022727272727272728,145895.47665833466,144194.53854943914,70217.56504292577,92443.83,178.63
4,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,144194.53854943914,86375.7300777002,3823.2841223816795,0.022144758449320096,0.022727272727272728,145895.47665833466,144194.53854943914,70217.56504292577,92443.83,178.63
5,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,144194.53854943914,86375.7300777002,3823.2841223816795,0.022144758449320096,0.022727272727272728,145895.47665833466,144194.53854943914,70217.56504292577,92443.83,178.63
6,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,144194.53854943914,86375.7300777002,3823.2841223816795,0.022144758449320096,0.022727272727272728,145895.47665833466,144194.53854943914,70217.56504292577,92443.83,178.63
7,small_4h,0.5,4.0,51750.70502354616,53698.96203531907,0.0,144185.43834325054,86365.80389432845,3823.3329596922417,0.02214504131881425,0.022727272727272728,145885.55047496292,144185.43834325054,70217.80093221596,92434.73,178.62
8,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,239418.2321889671,118602.10496020009,7952.756502996126,0.04606298306059491,0.045454545454545456,237641.59812146903,239418.2321889671,269723.8441768741,8107.03,3.50
9,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,240630.9483256464,119951.7397071301,7944.660956500562,0.04601609302681217,0.045454545454545456,238991.23286839903,240630.9483256464,269684.74184518005,9319.75,4.03
10,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,240630.9483256464,119951.7397071301,7944.660956500562,0.04601609302681217,0.045454545454545456,238991.23286839903,240630.9483256464,269684.74184518005,9319.75,4.03
11,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,240630.9483256464,119951.7397071301,7944.660956500562,0.04601609302681217,0.045454545454545456,238991.23286839903,240630.9483256464,269684.74184518005,9319.75,4.03
12,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,240630.9483256464,119951.7397071301,7944.660956500562,0.04601609302681217,0.045454545454545456,238991.23286839903,240630.9483256464,269684.74184518005,9319.75,4.03
13,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,240630.9483256464,119951.7397071301,7944.660956500562,0.04601609302681217,0.045454545454545456,238991.23286839903,240630.9483256464,269684.74184518005,9319.75,4.03
14,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,240630.9483256464,119951.7397071301,7944.660956500562,0.04601609302681217,0.045454545454545456,238991.23286839903,240630.9483256464,269684.74184518005,9319.75,4.03
15,medium_2h,1.0,2.0,231311.20300032618,136866.11662752857,107456.97945859302,240630.9483256464,119951.7397071301,7944.660956500562,0.04601609302681217,0.045454545454545456,238991.23286839903,240630.9483256464,269684.74184518005,9319.75,4.03
16,large_1h,2.5,1.0,560932.223518853,260078.93047211468,334195.9161854566,562760.6809404485,264123.4582834997,19650.26380111949,0.11381585344228531,0.11363636363636363,562236.5718111007,562760.6809404485,655845.0417514419,1828.46,0.33
17,large_1h,2.5,1.0,560932.223518853,260078.93047211468,334195.9161854566,567678.8924475668,269667.21490316617,19613.277378788487,0.11360162521278235,0.11363636363636363,567780.3284307672,567678.8924475668,655666.3934841562,6746.67,1.20
18,large_1h,2.5,1.0,560932.223518853,260078.93047211468,334195.9161854566,567675.0434959405,269663.0050268589,19613.298594219075,0.11360174809420333,0.11363636363636363,567776.1206661473,567675.0434959405,655666.4959568928,6742.82,1.20
19,large_1h,2.5,1.0,560932.223518853,260078.93047211468,334195.9161854566,566643.0848634811,268498.76203184476,19621.074809775146,0.11364678853839395,0.11363636363636363,566612.6442136705,566643.0848634811,655704.0558869315,5710.86,1.02
