day,milp_oracle_eur,bc_policy_eur,ppo_vanilla_eur,ppo_bc_warmstart_eur
1,78643.9835,65947.8273,6566.3130,37345.3390
2,50407.1178,49282.2534,3872.1267,10822.2008
3,5500.0000,5362.5000,4648.9600,4802.7319
4,31714.2169,18743.3518,2154.3453,461.0131
5,15784.4370,6737.5000,3930.6165,10046.7970
6,41454.6675,66315.4532,3074.8930,13212.0589
7,37777.6727,41713.7990,1054.3697,10627.9849
8,63212.1120,30797.0451,3356.0774,16465.7523
9,31337.3886,33452.7832,4477.0988,13411.9945
10,13763.3623,14625.8623,5247.9618,59688.8528
11,27561.3089,28798.8089,11045.8899,22018.5487
12,44732.5646,43262.8414,3665.0679,11850.1998
13,30333.4845,30095.9395,2748.0333,17398.0848
14,55793.3609,46810.0118,145.7830,29513.3521
15,36915.7767,39160.3710,1730.6703,9961.3114
16,7012.5000,19749.7537,6894.6016,23463.1817
17,16255.1587,17859.7281,2378.0154,18023.1491
18,46183.7914,45951.3301,1864.2406,28880.9306
19,13728.7424,6875.0000,4941.7383,6897.8148
20,18739.3844,19394.5866,4264.1647,2099.8634
21,13832.8278,29273.9688,4190.5202,5370.5038
22,39100.9086,25450.6305,4581.6071,20053.8668
23,4812.5000,4812.5000,8349.7833,14318.4963
24,7425.0000,46210.7406,2500.3976,23544.5700
25,31975.9675,37993.7720,3735.1437,12388.6054
26,32004.3461,48807.5713,7839.8670,18094.0499
27,57722.4097,64235.1499,10242.8095,25003.2777
28,57163.0439,63399.6263,5092.5148,20193.8944
29,29571.8157,30748.9687,5115.4468,12188.9300
30,23021.0057,66367.0197,6548.3071,13696.1489
31,97534.8912,111022.0196,992.7767,9625.5020
32,68811.6525,56858.2440,616.7883,25390.2738
33,39230.4460,49984.6348,1379.9629,29103.5237
34,53619.8317,41008.5444,6830.3487,37462.8343
35,64821.3085,54862.4121,4690.0170,13530.0787
36,22410.8671,29857.4831,2329.8595,24432.9993
37,21052.1228,22046.4032,2408.2908,19152.6336
38,40501.3665,16741.2244,11077.6475,18174.0460
39,22728.3679,27058.1722,8099.0287,40434.4930
40,28836.3028,43642.4053,6414.0541,30215.2229
41,34202.8045,36127.4264,2043.2215,4245.0216
42,30635.8664,40938.3326,8468.8882,3394.1214
43,7012.5000,8525.0000,6919.2420,13313.3433
44,56179.0895,46906.1438,3248.0919,21167.3169
45,38909.8314,37325.2416,6986.2512,6627.3848
46,24471.2610,18039.9707,3361.6566,27907.9029
47,21147.5385,40932.8413,3245.7072,10148.5049
48,57501.6274,68928.4952,7056.9219,9920.2237
49,36356.8046,28323.7434,3131.9920,13224.5277
50,22109.1593,63195.6999,3380.6561,22628.3004
51,21087.9383,35669.8331,6882.5613,13173.3309
52,35436.2113,31268.5803,9331.8002,16889.3329
