Noise_Type,PSO_Profit,PPO_Profit,Difference,Diff_Pct,Winner,Monthly_Retrains
uniform,48756.18094956186,75757.50268642209,27001.321736860227,55.38030504233509,PPO,12
normal,70478.69393854555,76602.46321535927,6123.76927681372,8.688823436701862,PPO,12
ornstein-uhlenbeck,61554.391019468036,65999.48288686533,4445.091867397292,7.22140499447298,PPO,12
